"Position","Player","Free agency
tag","Date signed","2013 team"
"QB","Josh McCown","UFA","March 29","Chicago Bears"
"RB","Kahlil Bell","UFA","August 11","New York Jets"
"OG","Lance Louis","UFA","March 27","Miami Dolphins"
"OG","Chris Spencer","UFA","April 1","Tennessee Titans"
"OG","Chilo Rachal","UFA","April 10","Arizona Cardinals"
"OT","Jonathan Scott","UFA","March 25","Chicago Bears"
"DE","Israel Idonije","UFA","June 25","Detroit Lions"
"DT","Amobi Okoye","UFA","–","–"
"LB","Geno Hayes","UFA","March 13","Jacksonville Jaguars"
"LB","Nick Roach","UFA","March 15","Oakland Raiders"
"CB","Zack Bowman","UFA","March 15","Chicago Bears"
"CB","D. J. Moore","UFA","March 19","Carolina Panthers"
"S","Troy Nolan","UFA","July 29","Tampa Bay Buccaneers"
"K","Olindo Mare","UFA","–","–"
