"Region","Seed","Team","Coach","Finished","Final Opponent","Score"
"East","","","","","",""
"East","n/a","Furman","Joe Williams","First round","Syracuse","L 83-82"
"East","n/a","Maryland","Lefty Driesell","Regional Runner-up","Providence","L 103-89"
"East","n/a","Penn","Chuck Daly","Regional Fourth Place","Syracuse","L 69-68"
"East","n/a","Providence","Dave Gavitt","Fourth Place","Indiana","L 97-79"
"East","n/a","St. John's","Frank Mulzoff","First round","Penn","L 62-61"
"East","n/a","Saint Joseph's","Jack McKinney","First round","Providence","L 89-76"
"East","n/a","Syracuse","Roy Danforth","Regional Third Place","Penn","W 69-68"
"Mideast","","","","","",""
"Mideast","n/a","Austin Peay","Lake Kelly","Regional Fourth Place","Marquette","L 88-73"
"Mideast","n/a","Indiana","Bob Knight","Third Place","Providence","W 97-79"
"Mideast","n/a","Jacksonville","Tom Wasdin","First round","Austin Peay","L 77-75"
"Mideast","n/a","Kentucky","Joe B. Hall","Regional Runner-up","Indiana","L 72-65"
"Mideast","n/a","Marquette","Al McGuire","Regional Third Place","Austin Peay","W 88-73"
"Mideast","n/a","Miami, Ohio","Darrell Hedric","First round","Marquette","L 77-62"
"Midwest","","","","","",""
"Midwest","n/a","Houston","Guy Lewis","First round","Southwestern Louisiana","L 102-89"
"Midwest","n/a","Kansas State","Jack Hartman","Regional Runner-up","Memphis State","L 92-72"
"Midwest","n/a","Southwestern Louisiana (Vacated)","Beryl Shipley","Regional Fourth Place","South Carolina","L 90-85"
"Midwest","n/a","Memphis State","Gene Bartow","Runner Up","UCLA","L 87-66"
"Midwest","n/a","South Carolina","Frank McGuire","Regional Third Place","Southwestern Louisiana","W 90-85"
"Midwest","n/a","Texas Tech","Gerald Myers","First round","South Carolina","L 78-70"
"West","","","","","",""
"West","n/a","Arizona State","Ned Wulk","Regional Fourth Place","Long Beach State","L 84-80"
"West","n/a","Long Beach State","Jerry Tarkanian","Regional Third Place","Arizona State","W 84-80"
"West","n/a","Oklahoma City","Abe Lemons","First round","Arizona State","L 103-78"
"West","n/a","San Francisco","Bob Gaillard","Regional Runner-up","UCLA","L 54-39"
"West","n/a","UCLA","John Wooden","Champion","Memphis State","W 87-66"
"West","n/a","Weber State","Gene Visscher","First round","Long Beach State","L 88-75"
