Date	Time	Opponent#	Site	TV	Result	Attendance
August 29	7:30 PM	Appalachian State*	Groves Stadium • Winston-Salem, NC		W 19–13	21,129
September 7	6:30 PM	#13 Northwestern*	Groves Stadium • Winston-Salem, NC	FSN	W 28–27	21,749
September 14	7:00 PM	at Georgia Tech	Bobby Dodd Stadium • Atlanta, GA		L 10–30	45,750
September 21	12:00 PM	#20 Virginia	Groves Stadium • Winston-Salem, NC	JPS	L 7–42	23,220
September 28	12:00 PM	at Clemson	Memorial Stadium • Clemson, SC	JPS	L 10–21	63,263
October 5	6:30 PM	#15 North Carolina	Groves Stadium • Winston-Salem, NC		L 6–45	25,681
October 19	2:00 PM	at Maryland	Byrd Stadium • College Park, MD		L 0–52	30,212
October 26	1:00 PM	Navy*	Groves Stadium • Winston-Salem, NC		L 18–47	17,307
November 9	12:00 PM	vs. #3 Florida State	Citrus Bowl • Orlando, FL	JPS	L 7-44	34,974
November 16	1:00 PM	Duke	Groves Stadium • Winston-Salem, NC		W 17–16	17,842
November 23	1:00 PM	at NC State	Carter–Finley Stadium • Raleigh, NC		L 22–37	40,500
