"Device","Type","IOPS","Interface","Notes"
"Simple SLC SSD","SSD","~400 IOPS[citation needed]","SATA 3 Gbit/s",""
"Intel X25-M G2 (MLC)","SSD","~8,600 IOPS","SATA 3 Gbit/s","Intel's data sheet claims 6,600/8,600 IOPS (80 GB/160 GB version) and 35,000 IOPS for random 4 KB writes and reads, respectively."
"Intel X25-E (SLC)","SSD","~5,000 IOPS","SATA 3 Gbit/s","Intel's data sheet claims 3,300 IOPS and 35,000 IOPS for writes and reads, respectively. 5,000 IOPS are measured for a mix. Intel X25-E G1 has around 3 times higher IOPS compared to the Intel X25-M G2."
"G.Skill Phoenix Pro","SSD","~20,000 IOPS","SATA 3 Gbit/s","SandForce-1200 based SSD drives with enhanced firmware, states up to 50,000 IOPS, but benchmarking shows for this particular drive ~25,000 IOPS for random read and ~15,000 IOPS for random write."
"OCZ Vertex 3","SSD","Up to 60,000 IOPS","SATA 6 Gbit/s","Random Write 4 KB (Aligned)"
"Corsair Force Series GT","SSD","Up to 85,000 IOPS","SATA 6 Gbit/s","240 GB Drive, 555 MB/s sequential read & 525 MB/s sequential write, Random Write 4 KB Test (Aligned)"
"OCZ Vertex 4","SSD","Up to 120,000 IOPS","SATA 6 Gbit/s","256 GB Drive, 560 MB/s sequential read & 510 MB/s sequential write, Random Read 4 KB Test 90K IOPS, Random Write 4 KB Test 85K IOPS"
"Texas Memory Systems RamSan-20","SSD","120,000+ Random Read/Write IOPS","PCIe","Includes RAM cache"
"Fusion-io ioDrive","SSD","140,000 Read IOPS, 135,000 Write IOPS","PCIe",""
"Virident Systems tachIOn","SSD","320,000 sustained READ IOPS using 4KB blocks and 200,000 sustained WRITE IOPS using 4KB blocks","PCIe",""
"OCZ RevoDrive 3 X2","SSD","200,000 Random Write 4K IOPS","PCIe",""
"Fusion-io ioDrive Duo","SSD","250,000+ IOPS","PCIe",""
"Violin Memory Violin 3200","SSD","250,000+ Random Read/Write IOPS","PCIe /FC/Infiniband/iSCSI","Flash Memory Array"
"WHIPTAIL, ACCELA","SSD","250,000/200,000+ Write/Read IOPS","Fibre Channel, iSCSI, Infiniband/SRP, NFS, CIFS","Flash Based Storage Array"
"DDRdrive X1,","SSD","300,000+ (512B Random Read IOPS) and 200,000+ (512B Random Write IOPS)","PCIe",""
"SolidFire SF3010/SF6010","SSD","250,000 4KB Read/Write IOPS","iSCSI","Flash Based Storage Array (5RU)"
"Texas Memory Systems RamSan-720 Appliance","SSD","500,000 Optimal Read, 250,000 Optimal Write 4KB IOPS","FC / InfiniBand",""
"OCZ Single SuperScale Z-Drive R4 PCI-Express SSD","SSD","Up to 500,000 IOPS","PCIe",""
"WHIPTAIL, INVICTA","SSD","650,000/550,000+ Read/Write IOPS","Fibre Channel, iSCSI, Infiniband/SRP, NFS","Flash Based Storage Array"
"Violin Memory Violin 6000","3RU Flash Memory Array","1,000,000+ Random Read/Write IOPS","/FC/Infiniband/10Gb(iSCSI)/ PCIe",""
"Texas Memory Systems RamSan-630 Appliance","SSD","1,000,000+ 4KB Random Read/Write IOPS","FC / InfiniBand",""
"Fusion-io ioDrive Octal (single PCI Express card)","SSD","1,180,000+ Random Read/Write IOPS","PCIe",""
"OCZ 2x SuperScale Z-Drive R4 PCI-Express SSD","SSD","Up to 1,200,000 IOPS","PCIe",""
"Texas Memory Systems RamSan-70","SSD","1,200,000 Random Read/Write IOPS","PCIe","Includes RAM cache"
"Kaminario K2","Flash/DRAM/Hybrid SSD","Up to 1,200,000 IOPS SPC-1 IOPS with the K2-D (DRAM)","FC",""
"NetApp FAS6240 cluster","Flash/Disk","1,261,145 SPECsfs2008 nfsv3 IOPs using disks with virtual storage tiering.","NFS, CIFS, FC, FCoE, iSCSI","SPECsfs2008 is the latest version of the Standard Performance Evaluation Corporation benchmark suite measuring file server throughput and response time, providing a standardized method for comparing performance across different vendor platforms. http://www.spec.org/sfs2008/"
"Fusion-io ioDrive2","SSD","Up to 9,608,000 IOPS","PCIe",""
