	District	Headquarters	Population\n(2011)	Males	Females	Percentage\nDecadal\nGrowth\n2001-2011	Sex Ratio	Density\n(Persons\nper\nkm2)	Child\nPopulation\n0–6 years	Child\nSex\nratio	Literacy rate
1	Angul	Angul	1,271,703	654,898	616,805	11.55	942	199	145,690	884	78.96
2	Balangir	Balangir	1,648,574	831,349	817,225	23.29	983	251	206,964	951	65.50
3	Balasore	Baleswar	2,317,419	1,184,371	1,133,048	14.47	957	609	274,432	941	80.66
4	Bargarh	Bargarh	1,478,833	748,332	730,501	9.84	976	253	156,185	946	75.16
5	Bhadrak	Bhadrak	1,506,522	760,591	745,931	12.95	981	601	176,793	931	83.25
6	Boudh	Boudh	439,917	220,993	218,924	17.82	991	142	59,094	975	72.51
7	Cuttack	Cuttack	2,618,708	1,339,153	1,279,555	11.87	955	666	251,152	913	84.20
8	Debagarh	Debagarh	312,164	158,017	154,147	13.88	976	106	38,621	917	73.07
9	Dhenkanal	Dhenkanal	1,192,948	612,597	580,351	11.82	947	268	132,647	870	79.41
10	Gajapati	Paralakhemundi	575,880	282,041	293,839	10.99	1,042	133	82,777	964	54.29
11	Ganjam	Chhatrapur	3,520,151	1,777,324	1,742,827	11.37	981	429	397,920	899	71.88
12	Jagatsinghpur	Jagatsinghpur	1,136,604	577,699	558,905	7.44	967	681	103,517	929	87.13
13	Jajpur	Jajpur	1,826,275	926,058	900,217	12.43	972	630	207,310	921	80.44
14	Jharsuguda	Jharsuguda	579,499	297,014	282,485	12.56	951	274	61,823	938	78.36
15	Kalahandi	Bhawanipatna	1,573,054	785,179	787,875	17.79	1,003	199	214,111	947	60.22
16	Kandhamal	Phulbani	731,952	359,401	372,551	12.92	1,037	91	106,379	960	65.12
17	Kendrapara	Kendrapara	1,439,891	717,695	722,196	10.59	1,006	545	153,443	921	85.93
18	Kendujhar	Kendujhar	1,802,777	907,135	895,642	15.42	987	217	253,418	957	69.00
19	Khordha	Khordha	2,246,341	1,166,949	1,079,392	19.65	925	799	222,275	910	87.51
20	Koraput	Koraput	1,376,934	677,864	699,070	16.63	1,031	156	215,518	970	49.87
21	Malkangiri	Malkangiri	612,727	303,913	308,814	21.53	1,016	106	105,636	979	49.49
22	Mayurbhanj	Baripada	2,513,895	1,253,633	1,260,262	13.06	1,005	241	337,757	952	63.98
23	Nabarangapur	Nabarangpur	1,218,762	604,046	614,716	18.81	1,018	230	201,901	988	48.20
24	Nayagarh	Nayagarh	962,215	502,194	460,021	11.30	916	247	101,337	851	79.17
25	Nuapada	Nuapada	606,490	300,307	306,183	14.28	1,020	157	84,893	971	58.20
26	Puri	Puri	1,697,983	865,209	832,774	13.00	963	488	164,388	924	85.37
27	Rayagada	Rayagada	961,959	469,672	492,287	15.74	1,048	136	141,167	955	50.88
28	Sambalpur	Sambalpur	1,044,410	529,424	514,986	12.24	973	158	112,946	931	76.91
29	Subarnapur	Sonepur	652,107	332,897	319,210	20.35	959	279	76,536	947	74.42
30	Sundergarh	Sundergarh	2,080,664	1,055,723	1,024,941	13.66	971	214	249,020	937	74.13
