Code	District	Headquarters	Population (As of 2011)	Area (km²)	Density (/km²)
AL	Almora	Almora	621,972	3,083	202
BA	Bageshwar	Bageshwar	259,840	2,302	113
CL	Chamoli	Chamoli Gopeshwar	391,114	7,613	51
CP	Champawat	Champawat	259,315	1,781	146
DD	Dehradun	Dehradun	1,695,860	3,088	550
HA	Haridwar	Haridwar	1,927,029	2,360	817
NA	Nainital	Nainital	955,128	3,860	247
PG	Pauri Garhwal	Pauri	686,572	5,399	127
PI	Pithoragarh	Pithoragarh	485,993	7,100	68
RP	Rudra Prayag	Rudraprayag	236,857	1,890	125
TG	Tehri Garhwal	New Tehri	616,409	4,080	151
US	Udham Singh Nagar	Rudrapur	1,648,367	2,908	567
UT	Uttarkashi	Uttarkashi	329,686	8,016	41
