"","Date","Opponents","H / A","Result","Score","Attendance"
"1","29 August","Doncaster Knights","H","W","30 – 14","2232"
"2","5 September","London Welsh","H","W","22 – 3","2047"
"3","11 September","Moseley","A","D","26 – 26","751"
"4","19 September","Birmingham & Solihull","H","W","32 – 15","1672"
"5","26 September","Bristol","A","L","7 – 21","4379"
"6","3 October","Plymouth Albion","H","W","46 – 13","2439"
"7","9 October","Bedford","A","L","25 – 32","3243"
"8","17 October","Rotherham Titans","H","W","40 – 15","1982"
"9","22 October","Worcester Warriors","A","W","23 – 21","6928"
"10","31 October","Esher","H","W","54 – 6","1767"
"11","7 November","Nottingham","A","W","36 – 10","1637"
"12","14 November","London Welsh","A","L","16 – 23","1250"
"13","21 November","Moseley","H","W","50 – 7","1854"
"","28 November","Birmingham & Solihull","A","","P – P",""
"14","5 December","Bristol","H","W","16 – 6","2253"
"15","15 December","Birmingham & Solihull","A","W","61 – 28","407"
"","26 December","Plymouth Albion","A","","P – P",""
"16","2 January","Bedford Blues","H","W","23 – 13","3051"
"17","8 January","Rotherham Titans","A","L","18 – 19","1067"
"18","12 January","Plymouth Albion","A","W","10 – 6","2512"
"19","30 January","Worcester Warriors","H","L","30 – 33","1976"
"20","5 February","Esher","A","L","12 – 13","1338"
"21","13 February","Nottingham","H","W","40 – 0","2486"
"22","19 February","Doncaster Knights","A","W","16 – 13","1091"
