"Album / Name","Artist(s)","Label","Role/Credit","Date","Chart#"
"Rainbow Mini Album","Enomoto Atsuko","Avex, Japan","Songwriter","September 15, 2004","-"
"Summary of Johnny's World","NewS, KAT-TUN & Johnny's Jr","Johnny's Entertainment, Japan","Songwriter, Lyricist","April 19, 2005","No.1 Oricon Japan DVD Chart
Gold"
"Kaizokuban DVD","KAT-TUN","Johnny's Entertainment, Japan","Songwriter, Lyricist","May 3, 2005","Gold Disc Award Japan \"Best Music DVD of the Year\"
No.1 Oricon Japan DVD Chart / Platinum"
"Ajisai Ai Ai Monogatari","Biyuden","Up-front Works, Japan","Songwriter","May 25, 2005","Top 10 Oricon Japan Single Chart"
"V-U-Densetsu","Biyuden","Up-front Works, Japan","Songwriter","August 17, 2005","Top 10 Oricon Japan DVD Chart"
"W (Double You)","Miss Love Tantei","Up-front Works, Japan","Songwriter","September 7, 2005","Top 10 Oricon Japan Single Chart"
"W (Double You)","Miss Love Tantei Music DVD (Single-V)","Up-front Works, Japan","Songwriter","September 14, 2005","#1 Oricon Japan DVD Chart"
"TVXQ (Tohoshinki)","Rising Sun Album","SM Entertainment","Lyricist","September 14, 2005","#1 Korea"
"SBS TV Animation \"Origami Warriors\" Ending Theme Song","TVXQ","SM Entertainment, Korea","Lyricist","September, 2005","-"
"W (Double You) & Berryz Kobo","High Score DVD","Up-front Works, Japan","Songwriter","November 9, 2005","#1 Oricon Japan DVD Chart"
"Hello Project","Petit Best6","Up-front Works, Japan","Songwriter","December 21, 2005","Top 20 Oricon Japan Album & DVD Chart"
"V-U-Densetsu II","Biyuden","Up-front Works, Japan","Songwriter","February 15, 2006","#1 Oricon Japan DVD Chart"
"Best of KAT-TUN","KAT-TUN","Johnny's Entertainment, Japan","Songwriter, Lyricist","March 22, 2006","Gold Disc Award 2006 \"Best 10 Albums of the Year\""
"Farewell","Van Tomiko","Avex Trax, Japan","Songwriter, Lyricist","March 29, 2006","Top 10 Oricon Japan Album Chart"
