"No.","Country","2009 Winter
Universiade","2007 WJCC","2007 WWCC","2008 WJCC","2008 WWCC","Points"
"1","Canada","24","12","9","12","10","67"
"2","China","28","-","14","4","6","52"
"3","Sweden","10","5","12","14","9","50"
"4","Great Britain","16","14","5","1","12","48"
"5","Russia","20","8","6","6","5","45"
"6","United States","4","6","4","10","8","32"
"7","Switzerland","-","10","8","8","3","29"
"8","Germany","-","-","7","2","14","23"
"9","Denmark","-","3","10","-","7","20"
"10","Czech Republic","12","4","-","3","-","19"
"11","South Korea","8","-","3","-","-","11"
"12","Japan","6","1","-","-","2","9"
"13","France","-","2","-","5","-","7"
"14","Norway","-","-","2","-","4","6"
"15","Poland","2","-","-","-","-","2"
"16","Italy","-","-","1","-","-","1"
"17","Latvia","-","-","-","-","1","1"
"-","Turkey (host)","-","-","-","-","-","0"
