No. in\nSeries	No. in\nSeason	Title	Directed by	Written by	Original air date	Prod. code
68	1	"You Can Go Home Again"	Jeff McCracken	Mark Blutman & Howard Busgang	September 20, 1996	B720
69	2	"Hair Today, Goon Tomorrow"	Jeff McCracken	Susan Estelle Jansen	September 27, 1996	B721
70	3	"I Ain't Gonna Spray Lettuce No More"	Jeff McCracken	Mark Blutman & Howard Busgang	October 4, 1996	B722
71	4	"Fishing For Virna"	Jeff McCracken	Matthew Nelson	October 11, 1996	B723
72	5	"Shallow Boy"	Jeff McCracken	Jeff Sherman	October 18, 1996	B724
73	6	"Janitor Dad"	Jeff McCracken	Jeff Menell	October 25, 1996	B725
74	7	"Singled Out"	Jeff McCracken	Steve Hibbert	November 1, 1996	B727
75	8	"Dangerous Secret"	Jeff McCracken	Jeff Sherman	November 8, 1996	B726
76	9	"Sixteen Candles and Four-Hundred-Pound Men"	Jeff McCracken	Matthew Nelson	November 15, 1996	B728
77	10	"Turkey Day"	Jeff McCracken	Susan Estelle Jansen	November 22, 1996	B729
78	11	"An Affair to Forget"	Jeff McCracken	Story by: Eileen O'Hare\nTeleplay by: Jeff Sherman	November 29, 1996	B730
79	12	"Easy Street"	Jeff McCracken	Jeff Menell	December 13, 1996	B732
80	13	"B & B's B 'N' B"	Jeff McCracken	Mark Blutman & Howard Busgang	January 3, 1997	B733
81	14	"Wheels"	Jeff McCracken	Jeff Sherman	January 17, 1997	B734
82	15	"Chick Like Me"	Jeff McCracken	Steve Hibbert	January 31, 1997	B731
83	16	"A Long Walk to Pittsburgh (Part 1)"	Jeff McCracken	Matthew Nelson	February 7, 1997	B736
84	17	"A Long Walk to Pittsburgh (Part 2)"	Jeff McCracken	Mark Blutman & Howard Busgang	February 14, 1997	B737
85	18	"Uncle Daddy"	Jeff McCracken	Steve Young	February 28, 1997	B738
86	19	"Quiz Show"	Jeff McCracken	Steve Hibbert	March 21, 1997	B735
87	20	"Security Guy"	Jeff McCracken	Steve Hibbert	April 25, 1997	B740
88	21	"Cult Fiction"	Jeff McCracken	Jeff Menell	May 2, 1997	B739
89	22	"Learning to Fly"	Jeff McCracken	Jeff Sherman	May 9, 1997	B741
