"#","Date","Venue","Opponent","Score","Result","Competition"
"1.","September 29, 2006","Lionel Roberts Park, Charlotte Amalie","Bermuda","1–3","1–3","2007 Caribbean Cup qualifier"
"2.","October 1, 2006","Lionel Roberts Park, Charlotte Amalie","U.S. Virgin Islands","2–1","6–1","2007 Caribbean Cup qualifier"
"3.","October 1, 2006","Lionel Roberts Park, Charlotte Amalie","U.S. Virgin Islands","3–1","6–1","2007 Caribbean Cup qualifier"
"4.","October 1, 2006","Lionel Roberts Park, Charlotte Amalie","U.S. Virgin Islands","4–1","6–1","2007 Caribbean Cup qualifier"
"5.","October 1, 2006","Lionel Roberts Park, Charlotte Amalie","U.S. Virgin Islands","5–1","6–1","2007 Caribbean Cup qualifier"
"6.","July 8, 2011","Estadio Panamericano, San Cristobal","Anguilla","2–0","2–0","2014 FIFA World Cup qualifier"
"7.","July 10, 2011","Estadio Panamericano, San Cristóbal","Anguilla","4–0","4–0","2014 FIFA World Cup qualifier"
"8.","October 11, 2011","André Kamperveen Stadion, Paramaribo","Suriname","1–0","3–1","2014 FIFA World Cup qualifier"
"9.","September 27, 2012","Kensington Oval, Bridgetown","Dominica","1–1","2–1","2012 Caribbean Cup qualifier"
"10.","September 27, 2012","Kensington Oval, Bridgetown","Dominica","2–1","2–1","2012 Caribbean Cup qualifier"
"11.","October 23, 2012","Stade René Serge Nabajoth, Les Abymes","Guadeloupe","1–0","2–0","2012 Caribbean Cup qualifier"
"12.","October 23, 2012","Stade René Serge Nabajoth, Les Abymes","Guadeloupe","2–0","2–0","2012 Caribbean Cup qualifier"
"13.","October 27, 2012","Stade René Serge Nabajoth, Les Abymes","Puerto Rico","1–0","3–1","2012 Caribbean Cup qualifier"
"14.","October 27, 2012","Stade René Serge Nabajoth, Les Abymes","Puerto Rico","2–0","3–1","2012 Caribbean Cup qualifier"
"15.","December 7, 2012","Antigua Recreation Ground, St.John's","Antigua and Barbuda","2–1","2–1","2012 Caribbean Cup"
"16.","March 24, 2013","Estadio Panamericano, San Cristóbal","Haiti","2–0","3–1","Friendly"
