"Year","Date","Venue","City","Country","Notes"
"2012","Oct 27 - 31","Nara Prefectural New Public Hall","Nara","Japan",""
"2011","Noc 28 - Dec 1st","Hyatt Regency Scottsdale Resort and Spa @ Gainey Ranch","Scottsdale, Arizona","USA",""
"2010","Oct 25 - 29","Palazzo degli Affari","Firenze","Italy",""
"2009","Oct 19 - 24","Beijing Hotel","Beijing","China",""
"2008","Oct 27 – Nov 1","Pan Pacific Hotel","Vancouver, BC","Canada",""
"2007","Sep 24-29","University of Augsburg","Augsburg","Germany",""
"2006","Oct 23-27","Fess Parker's DoubleTree Resort Hotel","Santa Barbara","USA","ISBN 1-59593-447-2"
"2005","Nov 6-11","Hilton","Singapore","Singapore","ISBN 1-59593-044-2"
"2004","Oct 10-16","","New York","USA","ISBN 1-58113-893-8"
"2003","Nov 2-8","","Berkeley, California","USA","ISBN 1-58113-722-2"
"2002","Dec 1-6","","Juan-les-Pins on the French Riviera","France","ISBN 1-58113-620-X"
"2001","Sep 30 - Oct 5","","Ottawa","Canada","ISBN 1-58113-394-4"
"2000","Oct 30 - Nov 3","Marina del Rey","Los Angeles, CA","USA","Proceedings: ISBN 1-58113-198-4; Workshops: ISBN 1-58113-311-1"
"1999","Oct 30 - Nov 5","","Orlando, Florida","USA","Proc. Part 1: ISBN 1-58113-151-8; Proc. Part 2: ISBN 1-58113-239-5"
"1998","Sep 12-16","University of Bristol","Bristol","United Kingdom","ISBN 0-201-30990-4"
"1997","Nov 9-13","","Seattle, WA","USA","ISBN 0-89791-991-2"
"1996","Nov 18 - 22","Hynes Convention Center","Boston, MA","USA","ISBN 0-89791-871-1"
"1995","Nov 5-9","","San Francisco, CA","USA","ISBN 0-89791-751-0"
"1994","Oct 15-20","","San Francisco, CA","USA","ISBN 0-89791-686-7"
"1993","Aug 1-6","","Anaheim, CA.","USA","ISBN 0-89791-596-8"
