No. in\nseason	No. in\nseries	Title	Canadian airdate	US airdate	Production code
1–2	318–319	"Summertime"	July 11, 2013	July 11, 2013	1301 & 1302
3	320	"All I Wanna Do"	July 18, 2013	July 18, 2013	1303
4	321	"My Own Worst Enemy"	July 25, 2013	July 25, 2013	1304
5	322	"About A Girl"	August 1, 2013	August 1, 2013	1305
6	323	"Cannonball"	August 8, 2013	August 8, 2013	1306
7	324	"Honey"	August 15, 2013	August 15, 2013	1307
8	325	"Young Forever"	August 22, 2013	August 22, 2013	1308
9	326	"This Is How We Do It"	October 3, 2013	October 3, 2013	1309
10	327	"You Got Me"	October 10, 2013	October 10, 2013	1310
11	328	"You Oughta Know"	October 17, 2013	October 17, 2013	1311
12	329	"Everything You've Done Wrong"	October 24, 2013	October 24, 2013	1312
13	330	"Who Do You Think You Are"	October 31, 2013	October 31, 2013	1313
14	331	"Barely Breathing"	November 7, 2013	November 7, 2013	1314
15	332	"Black Or White"	November 14, 2013	November 14, 2013	1315
16	333	"Spiderwebs"	November 21, 2013	November 21, 2013	1316
17	334	"The World I Know"	January 28, 2014	January 28, 2014	1317
18	335	"Better Man"	February 4, 2014	February 4, 2014	1318
19	336	"Dig Me Out"	February 11, 2014	February 11, 2014	1319
20	337	"Power to the People"	February 18, 2014	February 18, 2014	1320
21	338	"No Surprises"	February 25, 2014	February 25, 2014	1321
22	339	"Basket Case"	March 4, 2014	March 4, 2014	1322
23–24	340–341	"Unbelievable"	March 11, 2014	March 11, 2014	1323 & 1324
25	342	"What It's Like"	March 18, 2014	March 18, 2014	1325
26	343	"Close to Me"	March 25, 2014	March 25, 2014	1326
27	344	"Army of Me"	April 1, 2014	April 1, 2014	1327
28	345	"Everything Is Everything"	April 8, 2014	April 8, 2014	1328
29	346	"Sparks Will Fly" Part One	April 15, 2014	April 15, 2014	1329
30	347	"Sparks Will Fly" Part Two	April 22, 2014	April 22, 2014	1330
31	348	"You Are Not Alone"	June 3, 2014	June 3, 2014	1331
32	349	"Enjoy The Silence"	June 10, 2014	June 10, 2014	1332
33	350	"How Bizarre"	June 17, 2014	June 17, 2014	1333
34	351	"My Hero"	June 24, 2014	June 24, 2014	1334
35	352	"Hypnotize"	July 1, 2014	July 1, 2014	1335
36	353	"Out Of My Head"	July 8, 2014	July 8, 2014	1336
37	354	TBA	July 15, 2014	July 15, 2014	1337
38	355	TBA	July 22, 2014	July 22, 2014	1338
39	356	"Thunderstruck" Part One	July 29, 2014	July 29, 2014	1339
40	357	"Thundestruck" Part Two	July 29, 2014	July 29, 2014	1340
