"#","Wrestlers","Reign","Date","Days held","Location","Event","Notes"
"1","The Super Destroyers
(A.J. Petrucci and Doug Stahl)","1","June 23, 1992","283","Philadelphia, PA","Live event","Petrucci and Stahl won the titles in a tournament final."
"2","Tony Stetson and Larry Winters","1","April 2, 1993","1","Radnor, PA","Hardcore TV #6","Aired 5-11-93 on TV"
"3","The Suicide Blondes
(Chris Candido, Johnny Hotbody, and Chris Michaels)","1","April 3, 1993","42","Philadelphia, PA","Hardcore TV #8","All three wrestlers were recognized as champions, and were able to defend the titles in any combination via the Freebird rule. Aired 5-25-93 on TV"
"4","The Super Destroyers","2","May 15, 1993","0","Philadelphia, PA","Hardcore TV #14","Aired 7-6-93 on TV"
"5","The Suicide Blondes","2","May 15, 1993","46","Philadelphia, PA","Hardcore TV #15","Aired 7-20-93 on TV"
"—","Vacated","1","July 1993","39","N/A","N/A","ECW vacated the title after Candido left the promotion for the Smoky Mountain Wrestling organization."
"6","The Dark Patriot and Eddie Gilbert","1","August 8, 1993","54","Philadelphia, PA","Hardcore TV #21","The Dark Patriot and Gilbert won the titles in a tournament final. Aired 9-7-93 on TV"
"—","Vacated","2","October 1, 1993","0","Philadelphia, PA","Bloodfest: Part 1","ECW vacated the championships after The Dark Patriot and Eddie Gilbert left the organization."
"7","Johnny Hotbody (3) and Tony Stetson (2)","1","October 1, 1993","43","Philadelphia, PA","Bloodfest: Part 1","Hotbody and Stetson were awarded the titles by ECW."
"8","Tommy Dreamer and Johnny Gunn","1","November 13, 1993","21","Philadelphia, PA","November to Remember (1993)",""
"9","Kevin Sullivan and The Tazmaniac","1","December 4, 1993","92","Philadelphia, PA","Hardcore TV #35","Defeat Dreamer and Shane Douglas, who was substituting for an injured Gunn. After the bout, Douglas turned against Dreamer and became a heel. Aired 12-14-93 on TV"
"10","The Public Enemy
(Johnny Grunge and Rocco Rock)","1","March 6, 1994","174","Philadelphia, PA","Hardcore TV #46","Aired 3-8-94 on TV"
"11","Cactus Jack and Mikey Whipwreck","1","August 27, 1994","70","Philadelphia, PA","Hardcore TV #72","Whipwreck was a substitute for Terry Funk, who left the company. Aired 9-13-94 on TV"
"12","The Public Enemy","2","November 5, 1994","91","Philadelphia, PA","November to Remember (1994)",""
"13","Sabu and The Tazmaniac (2)","1","February 4, 1995","21","Philadelphia, PA","Double Tables",""
"14","Chris Benoit and Dean Malenko","1","February 25, 1995","42","Philadelphia, PA","Return of the Funker",""
"15","The Public Enemy","3","April 8, 1995","83","Philadelphia, PA","Three Way Dance","Also def. Rick Steiner (who was a substitute for Sabu) and Taz in 3 way dance"
"16","Raven and Stevie Richards","1","June 30, 1995","78","Jim Thorpe, PA","Hardcore TV #115","Aired 7-4-95 on TV"
"17","The Pitbulls
(Pitbull #1 and Pitbull #2)","1","September 16, 1995","21","Philadelphia, PA","Gangsta's Paradise",""
"18","Raven and Stevie Richards","2","October 7, 1995","0","Philadelphia, PA","Hardcore TV #131","Aired 10-24-95 on TV"
"19","The Public Enemy","4","October 7, 1995","21","Philadelphia, PA","Hardcore TV #131","Aired 10-24-95 on TV"
"20","2 Cold Scorpio and The Sandman","1","October 28, 1995","62","Philadelphia, PA","Hardcore TV #133","Scorpio defeats Rocco Rock in a singles bout and wins the tag team title, choosing Sandman as his partner. Aired 11-7-95 on TV"
"21","Cactus Jack and Mikey Whipwreck","2","December 29, 1995","36","New York, NY","Holiday Hell 1995","Whipwreck defeated 2 Cold Scorpio in a singles match to win both the tag team titles and the ECW World Television Championship; Cactus Jack came out and declared himself to be Mikey's partner after he won the match."
"22","The Eliminators
(Kronus and Saturn)","1","February 3, 1996","182","New York, NY","Big Apple Blizzard Blast",""
"23","The Gangstas
(Mustapha Saed and New Jack)","1","August 3, 1996","139","Philadelphia, PA","Doctor Is In",""
"24","The Eliminators","2","December 20, 1996","85","Middletown, NY","Hardcore TV #193","Aired on 12/31/96 on Hardcore TV"
