Year	Winner	County	Opponent	County
2013	Rower-Inistioge 1-09	Kilkenny	Buffers Alley 0-10	Wexford
2012	Clara 3-20	Kilkenny	Oylegate/Glenbrien 0-05	Wexford
2011	Mount Leinster Rangers 1-13	Carlow	Celbridge 0-13	Kildare
2010	Dicksboro 5-09	Kilkenny	Celbridge 0-08	Kildare
2009	St. Lachtains 1-08	Kilkenny	Mount Leinster Rangers 0-07	Carlow
2008	Kilmessan 1-07	Meath	Erin's Own 1-06	Kilkenny
2007	Clonkill 1-15	Westmeath	Ferns St. Aiden's 3-07	Wexford
2006	Ardclough 2-06	Kildare	Raharney 2-04	Westmeath
2005	Dicksboro 0-20	Kilkenny	Marshalstown 0-03	Wexford
2004	Carrickshock	Kilkenny	St. Patrick's	Wexford
