Date	Opponent	Venue	Result	Attendance	Scorers
7 August 2004	Plymouth Argyle	A	0-0	16,063	
10 August 2004	Wigan Athletic	H	0-2	10,660	
14 August 2004	Leicester City	H	2-0	11,754	Morris, Dichio
21 August 2004	Coventry City	A	1-0	13,910	Dichio
28 August 2004	Reading	H	1-0	12,098	Dichio
12 September 2004	Ipswich Town	A	0-2	21,246	
19 September 2004	Watford	H	0-2	10,865	
22 September 2004	Derby County	H	3-1	23,422	Simpson, Ifill
25 September 2004	Rotherham United	A	1-1	5,062	Ifill
3 October 2004	Nottingham Forest	H	1-0	11,233	Livermore
16 October 2004	Sunderland	A	0-1	23,839	
19 October 2004	Gillingham	H	2-1	10,722	Hayles, Dunne
23 October 2004	Cardiff City	H	2-2	10,476	Tessem, Harris
30 October 2004	Stoke City	A	0-1	14,125	
2 November 2004	Queens Park Rangers	A	1-1	16,685	Hayles
5 November 2004	Sunderland	H	2-0	10,513	Wise (pen), Livermore
13 November 2004	Preston North End	A	1-1	22,977	Hayles
21 November 2004	West Ham United	H	1-0	15,025	Dichio
27 November 2004	Burnley	A	0-1	11,471	
30 November 2004	Crewe Alexandra	A	1-2	5,409	Ifill
4 December 2004	Sheffield United	H	1-2	11,207	Phillips
7 December 2004	Wolverhampton Wanderers	A	2-1	24,748	Dobie, Dichio
11 December 2004	Brighton & Hove Albion	H	2-0	12,196	Dobie, Ifill
18 December 2004	Leeds United	A	1-1	26,265	Morris (pen)
26 December 2004	Ipswich Town	H	3-1	14,532	Hayles, Dichio, Dobie
28 December 2004	Derby County	A	3-0	27,725	Hayles (3)
1 January 2005	Watford	A	0-1	13,158	
3 January 2005	Rotherham United	H	1-2	11,725	Dunne
15 January 2005	Nottingham Forest	A	2-1	25,949	Hayles, Dunne
22 January 2005	Wolverhampton Wanderers	H	1-2	13,145	Wise (pen)
5 February 2005	Queens Park Rangers	H	0-0	15,603	
12 February 2005	Gillingham	A	0-0	9,127	
19 February 2005	Stoke City	H	0-1	11,036	
22 February 2005	Cardiff City	A	1-0	11,424	Dichio (pen)
26 February 2005	Brighton & Hove Albion	A	0-1	6,608	
6 March 2005	Leeds United	H	1-1	11,510	Robinson
12 March 2005	Wigan Athletic	A	0-2	18,647	
15 March 2005	Coventry City	H	1-1	8,835	Morris (pen)
20 March 2005	Plymouth Argyle	H	3-0	11,465	Sweeney, Hayles, Dichio
2 April 2005	Leicester City	A	1-3	22,338	Dichio
5 April 2005	Reading	A	1-2	14,379	Dichio
9 April 2005	Crewe Alexandra	H	4-3	10,767	Hayles, Elliott, Morris, May (pen)
16 April 2005	West Ham United	A	1-1	28,221	Hayles
24 April 2005	Preston North End	H	2-1	11,417	Sweeney, Hayles
30 April 2005	Sheffield United	A	1-0	19,797	Morris
8 May 2005	Burnley	H	0-0	12,171	
