Name	Built	Listed	Location	County	Type
Abiaca Creek Bridge	1930	2004-03-22	Vaiden\n33°19′57″N 89°56′57″W﻿ / ﻿33.33250°N 89.94917°W	Carroll	
Bahala Creek Bridge	1909	1988-11-16	Oma\n31°42′17″N 90°12′0″W﻿ / ﻿31.70472°N 90.20000°W	Lawrence	Pratt through truss
Bayou Pierre Bridge	ca. 1920	2005-06-10	Carpenter\n32°0′10″N 90°41′23″W﻿ / ﻿32.00278°N 90.68972°W	Copiah	
Bayou Pierre Bridge	ca. 1900, 1940	2005-06-10	Carpenter\n32°0′10″N 90°41′23″W﻿ / ﻿32.00278°N 90.68972°W	Copiah	
Big Black River Railroad Bridge	1917	1988-11-16	Bovina, Edwards\n32°20′49″N 90°42′17″W﻿ / ﻿32.34694°N 90.70472°W	Hinds, Warren	Open-spandrel arch
Byram Bridge	ca. 1905	1979-05-23	Bryam, Frenchs Store\n32°10′35″N 90°14′37″W﻿ / ﻿32.17639°N 90.24361°W	Hinds, Rankin	Twin-tower swinging sus. br.
Chunky River Bridge	1911	2004-03-22	Chunky\n32°19′16″N 88°55′54″W﻿ / ﻿32.32111°N 88.93167°W	Newton	
Columbus Bridge	1925–1927	1988-11-16	Columbus\n33°29′37″N 88°26′3″W﻿ / ﻿33.49361°N 88.43417°W	Lowndes	Warren truss;Swing truss
Confederate Avenue Brick Arch Bridge	1935	1988-11-16	Vicksburg\n32°19′44″N 90°52′31″W﻿ / ﻿32.32889°N 90.87528°W	Warren	Brick arch
Coon Box Fork Bridge	1919	1979-05-23	Coon Box\n31°47′25″N 91°5′37″W﻿ / ﻿31.79028°N 91.09361°W	Jefferson	Twin-tower Swng. Susp. Brdg.
Eddiceton Bridge	1909	1988-11-16	Eddiceton\n31°29′33″N 90°47′21″W﻿ / ﻿31.49250°N 90.78917°W	Franklin	Pratt truss;Camelback truss
Enterprise Bridge	ca. 1925, ca. 1935	1988-11-16	Enterprise\n32°10′33″N 88°49′11″W﻿ / ﻿32.17583°N 88.81972°W	Clarke	Warren polygonal pony truss
Fairchild's Creek Bridge	1930	2005-06-08	Natchez\n31°43′31″N 91°18′49″W﻿ / ﻿31.72528°N 91.31361°W	Adams	
