Week	Date	Opponent	Score	Result	Attendance	Record
1	Thursday, Aug 11	vs. Winnipeg Blue Bombers	35–21	Loss	31,837	0–1
2	Monday, Aug 15	at Edmonton Eskimos	33–14	Loss	17,500	0–2
3	Saturday, Aug 20	vs. Saskatchewan Roughriders	27–12	Win	29,532	1–2
4	Monday, Aug 22	at Calgary Stampeders	26–19	Win	n/a	2–2
5	Monday, Aug 29	vs. Edmonton Eskimos	26–0	Loss	28,420	2–3
6	Thursday, Sept 1	at Winnipeg Blue Bombers	19–14	Loss	18,297	2–4
7	Monday, Sept 5	at Saskatchewan Roughriders	31–21	Win	14,105	3–4
8	Monday, Sept 12	vs. Calgary Stampeders	21–21	Tie	27,759	3–4–1
9	Saturday, Sept 17	vs. Winnipeg Blue Bombers	26–14	Loss	30,292	3–5–1
10	Monday, Sept 19	at Edmonton Eskimos	18–10	Loss	n/a	3–6–1
11	Saturday, Sept 24	at Calgary Stampeders	28–14	Loss	13,000	3–7–1
12	Thursday, Oct 6	vs. Edmonton Eskimos	21–13	Win	21,707	4–7–1
13	Thursday, Oct 13	at Winnipeg Blue Bombers	49–21	Loss	16,773	4–8–1
14	Saturday, Oct 15	at Saskatchewan Roughriders	14–14	Tie	7,255	4–8–2
15	Saturday, Oct 22	vs. Calgary Stampeders	22–10	Loss	29,599	4–9–2
16	Saturday, Oct 29	vs. Saskatchewan Roughriders	38–0	Win	21,114	5–9–2
