"Dance","Best dancer(s)","Best score","Worst dancer(s)","Worst score"
"Cha Cha","Argo Ader","34","Henrik Normann
Piret Järvis","14"
"Waltz (International Standard)","Maarja-Liis Ilus","36","Arne Niit","14"
"Rumba","Argo Ader","40","Arne Niit","15"
"Quickstep","Argo Ader
Maarja-Liis Ilus","40","Henrik Normann
Piret Järvis","16"
"Jive","Argo Ader","32","Henrik Normann","24"
"Tango","Maarja-Liis Ilus","37","Erika Salumäe","26"
"Paso Doble","Lauri Pedaja","36","Evelyn Sepp","28"
"Foxtrot","Argo Ader
Evelyn Sepp","34","Henrik Normann","25"
"Samba","Maarja-Liis Ilus","37","Henrik Normann","26"
"Showdance","Argo Adar
Maarja-Liis Ilus","40","-","-"
