Competition	Stage	Opponent	Result	Scorers
1975 AFC Championship	First stage	Thailand\n Singapore	2–3\n3–0	
1975 AFC Championship	Semifinals	New Zealand	2–3	
1975 AFC Championship	Third place	Malaysia	5–0	
1983 OFC Championship	First stage	New Zealand\n New Caledonia\n Fiji	0–0\n5–0\n13–0	0\nDolan 2, Heydon, Porter, Wardell\nIserief 3, Monteath 3, Heydon 3, Wardell 3, Millman
1983 OFC Championship	Final	New Zealand	2–3 (AET)	Brentnall, Dolan
1986 OFC Championship	First stage	New Zealand\n Chinese Taipei\n New Zealand B	1–0\n0–1\n2–1	Iserief\n0\nMateljan, Monteath
1986 OFC Championship	Final	Chinese Taipei	1–4	Martin
1988 FIFA Tournament	First stage	Brazil\n Thailand\n Norway	1–0\n3–0\n0–3	
1988 FIFA Tournament	Quarterfinals	China PR	0–7	
1989 OFC Championship	First stage	New Zealand\n Australia B\n Papua New Guinea\n Taiwan	0–2\n0–0\n6–0\n1–4	0\n0\nRiddington 3, Vinson 2, ?\nRiddington
1989 OFC Championship	Third place	Australia B	not played	
1991 OFC Championship	Round robin	New Zealand\n Papua New Guinea	0–1 1–0\n12–0 8–0	
1995 OFC Championship	Round robin	New Zealand\n Papua New Guinea	1–2 1–0\n7–0 4–0	
1995 FIFA World Cup	First stage	Denmark\n China PR\n United States	0–5\n2–4\n1–4	0\nHughes, Iannotta\nCasagrande
1998 OFC Championship	First stage	American Samoa\n Papua New Guinea	21–0\n8–0	
1998 OFC Championship	Semifinals	Fiji	17–0	
1998 OFC Championship	Final	New Zealand	3–1	
1999 FIFA World Cup	First stage	Ghana\n Sweden\n China PR	1–1\n1–3\n1–3	Murray\nMurray\nSalisbury
2000 Summer Olympics	First stage	Germany\n Sweden\n Brazil	0–3\n1–1\n1–2	0\nSalisbury\nHughes
2003 OFC Championship	Round robin	Samoa\n Cook Islands\n Papua New Guinea\n New Zealand	19–0\n11–0\n13–0\n2–0	Golebiowski 4, Mann 4, Peters 4, Slatyer 2, Small, Davies, Garriock, Wainwright\nAlagich 2, Crawford 2, Wilson 2, Davies, Hohnke, Karp, Small\nMann 4, Garriock 3, Golebiowski 2, Salisbury 2, Alagich, Peters\nPeters, Small
2003 FIFA World Cup	First stage	Russia\n China PR\n Ghana	1–2\n1–1\n1–2	Golebiowski\nGarriock\nGarriock
2004 Summer Olympics	First stage	Brazil\n Greece\n United States	0–1\n1–0\n1–1	0\nGarriock\nPeters
2004 Summer Olympics	Quarterfinals	Sweden	1–2	de Vanna
2006 AFC Asian Cup	First stage	South Korea\n Myanmar\n North Korea\n Thailand	4–0\n2–0\n0–0\n5–0	Munoz, de Vanna, Walsh + 1 o.g.\nShipard, de Vanna\n0\nBurgess, Ferguson, Gill, de Vanna, Walsh
2006 AFC Asian Cup	Semifinals	Japan	2–0	Munoz, Peters
2006 AFC Asian Cup	Final	China PR	2–2 (PSO: 2–4)	Munoz, Peters — Shipard, Ferguson McCallum, Peters
2007 FIFA World Cup	First stage	Ghana\n Norway\n Canada	4–1\n1–1\n2–2	de Vanna 2, Garriock, Walsh\nde Vanna\nMcCallum, Salisbury
2007 FIFA World Cup	Quarterfinals	Brazil	2–3	Colthorpe, de Vanna
2008 AFC Asian Cup	First stage	Chinese Taipei\n South Korea\n Japan	4–0\n2–0	Garriock 2, Tristram, de Vanna\nPerry, de Vanna\nPolkinghorne
2008 AFC Asian Cup	Semifinals	North Korea	0–3	
2008 AFC Asian Cup	Third place	Japan	0–3	
2010 AFC Asian Cup	First stage	Vietnam\n South Korea\n China PR	2–0\n3–1\n0–1	Khamis, Ledbrook\nCarroll, Kerr, de Vanna\n0
2010 AFC Asian Cup	Semifinals	Japan	1–0	Gill
2010 AFC Asian Cup	Final	North Korea	1–1 (PSO: 5–4)	Kerr — PSO: Shipard, Ledbrook, Gill, Garriock, Simon
2011 FIFA World Cup	First stage	Brazil\n Equatorial Guinea\n Norway	0–1\n3–2\n2–1	0\nvan Egmond, Khamis, de Vanna\nSimon 2
2011 FIFA World Cup	Quarterfinals	Sweden	1–3	Perry
2012 Summer Olympics\nAFC qualification	Final round	North Korea\n Thailand\n Japan\n China PR\n South Korea	0–1\n5–1\n0–1\n1–0\n2–1	0\nHeyman 2, Butt, van Egmond, Simon\n0\nvan Egmond\nButt, de Vanna
2014 AFC Asian Cup	First stage	Japan\n Jordan\n Vietnam	TBD\nTBD\nTBD	
