#	Title	Producer(s)	Featured guest(s)	Length
1	"Intro"	Swizzo (of Drum Squad)		1:41
2	"Interlude"	Crown Kingz Productions (CKP)		2:22
3	"Dem Boyz"	Nitti	P. Diddy	4:16
4	"Felonies"	Jazze Pha		5:49
5	"Look"	Drumma Boy		4:56
6	"Gangstas"	Erick Sermon	Eazy-E	3:49
7	"Don't Put Your Hands On Me"	DJ Toomp		4:33
8	"Bitches & Bizness"	Nitti	Rick Ross (Uncredited)	4:21
9	"Trap Niggas"	Drumma Boy		3:37
10	"Still Slizzard"	Nitti		5:07
11	"No Talkin"	Sanchez		5:25
12	"Happy Jamz"	Jazze Pha	Jazze Pha	4:48
13	"If U A Thug"	Keith Mack		5:09
14	"Lay It Down"	Jasper		4:17
15	"Pussy M.F.'s"	Horace "Bubba" Mitchell, Jazze Pha	Trick Daddy	4:24
16	"Keep It Hood 2Nite"	Midnight Black		3:23
