| Site                                                    | Date(s)                                                                                                                  | Designated | Location                                                                | Description                                                                                                                                                                                                                                                                                                                                                                    |
| Atwater Library of the Mechanics' Institute of Montreal | 1920 (completed)                                                                                                         | 2005       | Montreal 45°29′19.17″N 73°35′3.41″W﻿ / ﻿45.4886583°N 73.5842806°W       | The home of the first Mechanics' Institute in Canada (established 1828), and the oldest subscription library in Canada; the last Mechanics' Institute building in Canada serving its original purposes                                                                                                                                                                         |
| Bank of Montreal                                        | 1894 (completed)                                                                                                         | 1990       | Montreal 45°29′15.81″N 73°34′7.45″W﻿ / ﻿45.4877250°N 73.5687361°W       | A three-and-a-half storey sandstone former bank branch; the building is a rare surviving example of a commercial building in Canada in the Queen Anne Revival style                                                                                                                                                                                                            |
| Battle of Rivière des Prairies / Battle of Coulée Grou  | 1690 (battle)                                                                                                            | 1924       | Montreal 45°41′56.07″N 73°30′13.68″W﻿ / ﻿45.6989083°N 73.5038000°W      | The site of a battle between a group of Iroquois and a group of French settlers in 1690                                                                                                                                                                                                                                                                                        |
| Battle of the Lake of Two Mountains                     | 1689 (battle)                                                                                                            | 1925       | Senneville 45°26′52.69″N 73°56′25.41″W﻿ / ﻿45.4479694°N 73.9403917°W    | A skirmish at Lake of Two Mountains between 28 coureurs de bois and a group of 22 Iroquois; the Iroquois defeat restored confidence among the French settlers in the area that had been shaken by the Lachine massacre                                                                                                                                                         |
| Black Watch (Royal Highland Regiment) of Canada Armoury | 1906 (completed)                                                                                                         | 2008       | Montreal 45°30′28.37″N 73°34′11.38″W﻿ / ﻿45.5078806°N 73.5698278°W      | Home to The Black Watch (Royal Highland Regiment) of Canada, one of Canada's oldest regiments and its oldest surviving Highland Regiment; a testament to the important roles played by armouries in Canada's military history                                                                                                                                                  |
| Bonsecours Market                                       | 1847 (completed)                                                                                                         | 1984       | Montreal 45°30′32.21″N 73°33′5.18″W﻿ / ﻿45.5089472°N 73.5514389°W       | A monumental, domed masonry civic building that occupies a full city block, originally built to house the city’s first city hall, a public market, exhibition rooms and a concert hall; it was the largest town hall built in Canada during the mid-19th-century and reflected Montreal's rise as a metropolis                                                                 |
| Château De Ramezay / India House                        | 1705 (completed), 1756 (rebuilt after fire)                                                                              | 1949       | Montreal 45°30′31.54″N 73°33′11.28″W﻿ / ﻿45.5087611°N 73.5531333°W      | A stone mansion built for Claude de Ramezay, Governor of Montreal; it played an important role in the political and commercial life of New France and of Lower Canada for two centuries, housing the Compagnie des Indes occidentales starting in the 1740s and serving as official residence of the Governors-in-Chief of British North America commencing in the 1770s       |
| Christ Church Cathedral                                 | 1860 (completed)                                                                                                         | 1999       | Montreal 45°30′13.21″N 73°34′12.04″W﻿ / ﻿45.5036694°N 73.5700111°W      | An excellent example of a Gothic Revival-style cathedral; associated with the historic growth and development of Montreal through its congregation, whose members included many of the city's leading industrialists and businessmen                                                                                                                                           |
| Church of Notre-Dame-de-la-Défense                      | 1919 (completed)                                                                                                         | 2002       | Montreal 45°32′5.82″N 73°36′41.28″W﻿ / ﻿45.5349500°N 73.6114667°W       | A Romanesque Revival style church in Montreal's Little Italy, specifically designed for an Italian Canadian parish; closely associated with Canada’s oldest Italian community, established in Montreal in the 1860s                                                                                                                                                            |
| Church of Saint-Léon-de-Westmount                       | 1903 (completed)                                                                                                         | 1997       | Westmount 45°29′7.58″N 73°35′30.75″W﻿ / ﻿45.4854389°N 73.5918750°W      | One of the best examples of mural decoration dating from a period when the use of murals was prevalent in Canada; one of the few known examples in the country of a work executed in the buon fresco technique, and the best example of a comprehensive interior decor done by Guido Nincheri                                                                                  |
| Erskine and American United Church                      | 1894 (completed)                                                                                                         | 1998       | Montreal 45°29′56.98″N 73°34′47.4″W﻿ / ﻿45.4991611°N 73.579833°W        | An excellent example of a large Romanesque Revival church known for its unusual fenestration patterns and attractive stonework; the windows by Louis Comfort Tiffany represent the most extensive collection of Tiffany’s religious stained glass windows in Canada                                                                                                            |
| Former Montreal Custom House                            | 1838 (completed)                                                                                                         | 1997       | Montreal 45°30′11.98″N 73°33′16.5″W﻿ / ﻿45.5033278°N 73.554583°W        | An excellent example of Palladian architecture in Canada, designed by John Ostell, and one of the last Canadian public buildings to use the Palladian style; its construction marked the end of Montreal's lesser importance in comparison with Quebec City                                                                                                                    |
| George Stephen House / Mount Stephen Club               | 1881 (completed)                                                                                                         | 1971       | Montreal 45°29′56.73″N 73°34′32.93″W﻿ / ﻿45.4990917°N 73.5758139°W      | A large, stone Victorian mansion that is the best example of a Renaissance Revival house in Canada; the home of George Stephen, 1st Baron Mount Stephen, president of the Bank of Montreal and of the Canadian Pacific Railway in the late 19th century                                                                                                                        |
