"Date","Round","Opponent","Venue","Result","Attendance","Scorers"
"16 September 1992","R1","Lyngby","H","2–0","40,036","Hateley, Huistra"
"30 September 1992","R1","Lyngby","A","1–0","4,273","Durrant"
"21 October 1992","R2","Leeds United","H","2–1","43,251","McCoist, Lukic (o.g.)"
"4 November 1992","R2","Leeds United","A","2–1","25,118","Hateley, McCoist"
"25 November 1992","GS","Marseille","H","2–2","41,624","McSwegan, Hateley"
"9 December 1992","GS","CSKA Moscow","A","1–0","9,000","Ferguson"
"3 March 1993","GS","Club Brugge","A","1–1","19,000","Huistra"
"17 March 1993","GS","Club Brugge","H","2–1","42,731","Durrant, Nisbet"
"7 April 1993","GS","Marseille","A","1–1","46,000","Durrant"
"21 April 1993","GS","CSKA Moscow","H","0–0","43,142",""
