"Call-sign","Location","RF","PSIP","Programming"
"WIVM-LD","Canton","39","39.1","RTV"
"WIVM-LD","Canton","39","39.2","Tuff TV"
"WIVM-LD","Canton","39","39.3","PBJ"
"WIVM-LD","Canton","39","39.4","Faith Ministries Radio (WJEE-FM 90.1 / WJDD-FM 90.9, audio-only)"
"WIVN-LD","Newcomerstown","29","29.1","RTV (WIVM-LD Simulcast)"
"WIVN-LD","Newcomerstown","29","29.2","PBJ"
"WIVN-LD","Newcomerstown","29","29.3","Tuff TV"
"WIVN-LD","Newcomerstown","29","29.4","Faith Ministries Radio (WJEE-FM 90.1 / WJDD-FM 90.9, audio-only)"
"WIVX-LD","Loudonville","51","51.1","RTV (WIVM-LD Simulcast)"
"WIVD-LD","Newcomerstown","22","22.1","RTV (WIVM-LD Simulcast)"
"W27DG-D","Millersburg","27","27.1","RTV (WIVM-LD Simulcast)"
