Rank	Athlete	Nationality	Time	Notes
	Valeriy Borchin	Russia	1:19:56	
	Vladimir Kanaykin	Russia	1:20:27	
	Luis Fernando López	Colombia	1:20:38	SB
4	Wang Zhen	China	1:20:54	
5	Stanislav Emelyanov	Russia	1:21:11	
6	Kim Hyun-sub	South Korea	1:21:17	
7	Ruslan Dmytrenko	Ukraine	1:21:31	SB
8	Yusuke Suzuki	Japan	1:21:39	
9	Alex Schwazer	Italy	1:21:50	SB
10	Erick Barrondo	Guatemala	1:22:08	
11	Chu Yafei	China	1:22:10	
12	Sergey Morozov	Russia	1:22:37	
13	Wang Hao	China	1:22:49	
14	Matej Tóth	Slovakia	1:22:55	
15	Eder Sánchez	Mexico	1:23:05	
16	João Vieira	Portugal	1:23:26	
17	Miguel Ángel López	Spain	1:23:41	
18	Anton Kucmin	Slovakia	1:23:57	
19	James Rendón	Colombia	1:24:08	SB
20	Horacio Nava	Mexico	1:24:15	
21	Christopher Linke	Germany	1:24:17	
22	Caio Bonfim	Brazil	1:24:29	
23	Trevor Barron	United States	1:24:33	
24	Rafał Augustyn	Poland	1:24:47	
25	Byun Youngjun	South Korea	1:24:48	
26	Hassanine Sebei	Tunisia	1:25:17	
27	Jared Tallent	Australia	1:25:25	
28	Recep Çelik	Turkey	1:25:39	
29	Nazar Kovalenko	Ukraine	1:25:50	
30	Gurmeet Singh	India	1:26:34	
31	Babubhai Panucha	India	1:26:53	
32	David Kimutai	Kenya	1:27:20	SB
33	Yerko Araya	Chile	1:27:47	
34	Hédi Teraoui	Tunisia	1:29:48	
35	Diego Flores	Mexico	1:30:00	
36	Juan Manuel Cano	Argentina	1:30:00	
37	Emerson Hernandez	El Salvador	1:30:48	SB
38	Ronald Quispe	Bolivia	1:32:09	PB
	Moacir Zimmermann	Brazil	DSQ	
	Gustavo Restrepo	Colombia	DSQ	
	Giorgio Rubino	Italy	DSQ	
	Anatole Ibañez	Sweden	DSQ	
	Adam Rutter	Australia	DNF	
	Mauricio Arteaga	Ecuador	DNF	
	Paquillo Fernández	Spain	DNF	
	Park Chil-sung	South Korea	DNF	
