Date	Venue	Opponent	Score	Result	Competition	#
15 Nov 2006	Lansdowne Road, Dublin	San Marino	2–0	5–0	Euro 2008 qualifying	1
28 Mar 2007	Croke Park, Dublin	Slovakia	1–0	1–0	Euro 2008 qualifying	2
23 May 2007	Giants Stadium, New York	Ecuador	1–1	1–1	Friendly	3
9 Sep 2007	Tehelné Pole, Bratislava	Slovakia	1–2	2–2	Euro 2008 qualifying	4
17 Nov 2007	Millennium Stadium, Cardiff	Wales	1–2	2–2	Euro 2008 qualifying	5
6 Sep 2008	Stadion am Bruchweg, Mainz	Georgia	0–1	1–2	2010 FIFA World Cup qualifying	6
5 Sep 2009	Neo GSP Stadium, Nicosia	Cyprus	0–1	1–2	2010 FIFA World Cup qualifying	7
25 May 2010	RDS Arena, Dublin	Paraguay	1–0	2–1	Friendly	8
7 Sep 2010	Aviva Stadium, Dublin	Andorra	2–0	3–1	Euro 2012 qualifying	9
7 Oct 2011	Estadi Comunal, Andorra la Vella	Andorra	1–0	2–0	Euro 2012 qualifying	10
7 Sep 2012	Astana Arena, Astana	Kazakhstan	2–1	2–1	2014 FIFA World Cup qualifying	11
11 Sep 2012	Craven Cottage, London	Oman	3–0	4–1	Friendly	12
