Edition	Year	Men's winner	Time (m:s)	Women's winner	Time (m:s)
1st	1990	Marti ten Kate (NED)	47:52	Alison Gooderham (GBR)	56:09
2nd	1991	Thomas Naali (TAN)	47:11	Olga Bondarenko (URS)	53:16
3rd	1992	Boay Akonay (TAN)	47:04	Iulia Negura (ROM)	53:19
4th	1993	Gary Staines (GBR)	46:11	Iulia Negura (ROM)	53:01
5th	1994	Gary Staines (GBR)	47:00	Gitte Karlshøj (DEN)	54:49
6th	1995	Benson Masya (KEN)	45:56	Liz McColgan (GBR)	53:12
7th	1996	Gary Staines (GBR)	46:57	Derartu Tulu (ETH)	52:39
8th	1997	Christopher Kelong (KEN)	46:53	Liz McColgan (GBR)	52:00
9th	1998	Stéphane Franke (GER)	47:40	Marian Sutton (GBR)	54:17
10th	1999	Simon Kasimili (KEN)	47:42	Esther Kiplagat (KEN)	54:42
11th	2000	Gert Thys (RSA)	48:26	Restituta Joseph (TAN)	55:10
12th	2001	Khalid Skah (MAR)	46:17	Restituta Joseph (TAN)	52:36
13th	2002	Simon Kasimili (KEN)	47:27	Sonia O'Sullivan (IRL)	51:00
14th	2003	John Yuda (TAN)	46:35	Sonia O'Sullivan (IRL)	53:26
15th	2004	Hendrick Ramaala (RSA)	47:14	Benita Johnson (AUS)	52:32
16th	2005	John Yuda (TAN)	46:45	Derartu Tulu (ETH)	51:27
17th	2006	Simon Arusei (KEN)	47:17	Jo Pavey (GBR)	52:46
18th	2007	Luke Kibet (KEN)	47:31	Rose Cheruiyot (KEN)	53:44
19th	2008	Bernard Kipyego (KEN)	46:42	Paula Radcliffe (GBR)	51:11
20th	2009	Mo Farah (GBR)	46:25	Inês Monteiro (POR)	52:32
21st	2010	Joseph Ebuya (KEN)	45:15	Grace Momanyi (KEN)	52:03
22nd	2011	Leonard Komon (KEN)	46:18	Aselefech Mergia (ETH)	52:55
23rd	2012	Stephen Mokoka (RSA)	46:40	Jo Pavey (GRB)	53:01
24th	2013	Emmanuel Bett (KEN)	48:03	Florence Kiplagat (KEN)	53:53
