"Year","Competition","Venue","Position","Event","Notes"
"1992","CARIFTA Games (U20)","Nassau, Bahamas","1st","Discus throw","37.86 m"
"1992","CARIFTA Games (U20)","Nassau, Bahamas","3rd","Javelin throw","36.37 m"
"1999","Central American and Caribbean Championships","Bridgetown, Barbados","2nd","Javelin throw","54.24 m"
"2000","Olympic Games","Sydney, Australia","21st (q)","Javelin throw","56.36 m"
"2005","Central American and Caribbean Championships","Nassau, Bahamas","2nd","Javelin throw","61.10 m"
"2005","World Championships","Helsinki, Finland","14th (q)","Javelin throw","58.49 m"
"2006","Commonwealth Games","Melbourne, Australia","3rd","Javelin throw","58.27 m"
"2006","Central American and Caribbean Games","Cartagena, Colombia","4th","Javelin throw","56.82 m"
"2008","Olympic Games","Beijing, China","34th (q)","Javelin throw","55.51 m"
"2011","Pan American Games","Guadalajara, Mexico","7th","Javelin throw","51.40 m"
