"Rank","Nation","Gold","Silver","Bronze","Total"
"1","Soviet Union","26","17","15","58"
"2","United States","22","18","11","51"
"3","East Germany","8","3","4","15"
"4","Italy","4","4","6","14"
"5","Japan","3","7","5","15"
"6","Hungary","3","6","6","15"
"7","West Germany","3","6","4","13"
"8","United Kingdom","3","4","7","14"
"9","Poland","3","1","5","9"
"10","Yugoslavia","3","1","1","5"
"11","Netherlands","1","1","2","4"
"12","Austria","1","1","1","3"
"12","Bulgaria","1","1","1","3"
"14","France","1","0","4","5"
"15","Romania","0","4","2","6"
"16","Cuba","0","2","2","4"
"17","Australia","0","1","0","1"
"17","Czechoslovakia","0","1","0","1"
"17","Greece","0","1","0","1"
"17","Sweden","0","1","0","1"
"21","Canada","0","0","1","1"
"21","South Korea","0","0","1","1"
"21","Madagascar","0","0","1","1"
"21","Panama","0","0","1","1"
"Total","Total","82","80","80","242"
