Round	Round	Circuit	Date	Pole Position	Fastest Lap	Winning Driver	Winning Team	Winning Privateer
1	R1	Mantorp Park	10 May	Mattias Ekström	Fredrik Ekblom	Mats Lindén	Kristoffersson Motorsport	Richard Göransson
1	R2	Mantorp Park	10 May		Peggen Andersson	Fredrik Ekblom	BMW Dealer Team	Pontus Mörth
2	R3	Karlskoga-Gelleråsen	31 May	Jan Nilsson	Jan Nilsson	Jan Nilsson	Flash Engineering	Pontus Mörth
2	R4	Karlskoga-Gelleråsen	31 May		Fredrik Ekblom	Peggen Andersson	BMW Dealer Team	Pontus Mörth
3	R5	Anderstorp	28 June	Mattias Ekström	Fredrik Ekblom	Jan Nilsson	Flash Engineering	Pontus Mörth
3	R6	Anderstorp	28 June		Peggen Andersson	Peggen Andersson	BMW Dealer Team	Georg Bakajev
4	R7	Falkenberg	9 July	Jens Edman	Jens Edman	Jan Nilsson	Flash Engineering	Pontus Mörth
4	R8	Falkenberg	9 July		Mattias Ekström	Jens Edman	Flash Engineering	Pontus Mörth
5	R9	Ring Knutstorp	6 September	Fredrik Ekblom	Fredrik Ekblom	Fredrik Ekblom	BMW Dealer Team	Pontus Mörth
5	R10	Ring Knutstorp	6 September		Mats Lindén	Jan Nilsson	Flash Engineering	Georg Bakajev
6	R11	Mantorp Park	27 September	Tommy Kristoffersson	Fredrik Ekblom	Fredrik Ekblom	BMW Dealer Team	Pontus Mörth
6	R12	Mantorp Park	27 September		Peggen Andersson	Jan Nilsson	Flash Engineering	Pontus Mörth
