State\n(linked to\nsummaries below)	Incumbent\nSenator	Incumbent\nParty	Incumbent\nElectoral\nhistory	Most recent election results	2018 intent	Candidates
Arizona	Jeff Flake	Republican	Jeff Flake (R) 49.2%\nRichard Carmona (D) 46.1%\nMarc Victor (L) 4.6%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
California	Dianne Feinstein	Democratic	Dianne Feinstein (D) 62.5%\nElizabeth Emken (R) 37.5%	1992 (special)\n1994\n2000\n2006\n2012	Running	[Data unknown/missing. You can help!]
Connecticut	Chris Murphy	Democratic	Chris Murphy (D) 54.8%\nLinda McMahon (R) 43.1%\nPaul Passarelli (L) 1.7%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Delaware	Tom Carper	Democratic	Tom Carper (D) 66.4%\nKevin L. Wade (R) 29.0%\nAlex Pires (I) 3.8%	2000\n2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Florida	Bill Nelson	Democratic	Bill Nelson (D) 55.2%\nConnie Mack IV (R) 42.2%	2000\n2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Hawaii	Mazie Hirono	Democratic	Mazie Hirono (D) 62.6%\nLinda Lingle (R) 37.4%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Indiana	Joe Donnelly	Democratic	Joe Donnelly (D) 50.0%\nRichard Mourdock (R) 44.2%\nAndrew Horning (L) 5.7%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Maine	Angus King	Independent	Angus King (I) 52.9%\nCharles E. Summers, Jr. (R) 30.7%\nCynthia Dill (D) 13.3%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Maryland	Ben Cardin	Democratic	Ben Cardin (D) 56.0%\nDan Bongino (R) 26.3%\nS. Rob Sobhani (I) 16.4%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Massachusetts	Elizabeth Warren	Democratic	Elizabeth Warren (D) 53.7%\nScott Brown (R) 46.3%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Michigan	Debbie Stabenow	Democratic	Debbie Stabenow (D) 58.8%\nPete Hoekstra (R) 38.0%\nScotty Boman (L) 1.8%	2000\n2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Minnesota	Amy Klobuchar	Democratic	Amy Klobuchar (D) 65.2%\nKurt Bills (R) 30.5%\nStephen Williams (Independence) 2.6%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Mississippi	Roger Wicker	Republican	Roger Wicker (R) 57.2%\nAlbert N. Gore, Jr. (D) 40.6%\nThomas Cramer (C) 1.2%\nShawn O'Hara (Reform) 1%	2008 (special)\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Missouri	Claire McCaskill	Democratic	Claire McCaskill (D) 54.8%\nTodd Akin (R) 39.0%\nJonathan Dine (L) 6.1%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Montana	Jon Tester	Democratic	Jon Tester (D) 48.6%\nDenny Rehberg (R) 44.9%\nDan Cox (L) 6.6%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Nebraska	Deb Fischer	Republican	Deb Fischer (R) 57.8%\nBob Kerrey (D) 42.2%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Nevada	Dean Heller	Republican	Dean Heller (R) 45.9%\nShelley Berkley (D) 44.7%\nDavid Lory VanderBeek (C) 4.9%\nNone of These Candidates 4.5%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
New Jersey	Bob Menendez	Democratic	Bob Menendez (D) 58.9%\nJoe Kyrillos (R) 39.4%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
New Mexico	Martin Heinrich	Democratic	Martin Heinrich (D) 51.0%\nHeather Wilson (R) 45.3%\nJon Barrie (IAP) 3.6%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
New York	Kirsten Gillibrand	Democratic	Kirsten Gillibrand (D) 71.6%\nWendy E. Long (R) 26.0%	2010 (special)\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
North Dakota	Heidi Heitkamp	Democratic	Heidi Heitkamp (D) 50.2%\nRick Berg (R) 49.3%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Ohio	Sherrod Brown	Democratic	Sherrod Brown (D) 50.7%\nJosh Mandel (R) 44.7%\nScott A. Rupert (I) 4.6%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Pennsylvania	Bob Casey, Jr.	Democratic	Bob Casey, Jr. (D) 53.7%\nTom Smith (R) 44.6%\nRayburn Douglas Smith (L) 1.7%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Rhode Island	Sheldon Whitehouse	Democratic	Sheldon Whitehouse (D) 64.8%\nBarry Hinckley (R) 35.0%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Tennessee	Bob Corker	Republican	Bob Corker (R) 64.9%\nMark E. Clayton (D) 30.4%\nMartin Pleasant (G) 1.7%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Texas	Ted Cruz	Republican	Ted Cruz (R) 56.5%\nPaul Sadler (D) 40.7%\nJohn Jay Myers (L) 2.1%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Utah	Orrin Hatch	Republican	Orrin Hatch (R) 65.3%\nScott Howell (D) 30.0%\nShaun McCausland (C) 3.2%	1976\n1982\n1988\n1994\n2000\n2006\n2012	Retiring	[Data unknown/missing. You can help!]
Vermont	Bernie Sanders	Independent	Bernie Sanders (I) 71%\nJohn MacGovern (R) 24.9%\nCris Ericson (Marijuana Party) 2%	2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Virginia	Tim Kaine	Democratic	Tim Kaine (D) 52.9%\nGeorge Allen (R) 47%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Washington	Maria Cantwell	Democratic	Maria Cantwell (D) 60.5%\nMichael Baumgartner (R) 39.5%	2000\n2006\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
West Virginia	Joe Manchin	Democratic	Joe Manchin (D) 60.6%\nJohn Raese (R) 36.5%\nBob Henry Baber (G) 3.0%	2010\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Wisconsin	Tammy Baldwin	Democratic	Tammy Baldwin (D) 51.4%\nTommy Thompson (R) 45.5%\nJoseph Kexel (L) 2.1%	2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
Wyoming	John Barrasso	Republican	John Barrasso (R) 75.7%\nTim Chestnut (D) 21.7%\nJoel Otto (Wyoming Country) 2.6%	2008 (special)\n2012	[Data unknown/missing. You can help!]	[Data unknown/missing. You can help!]
State\n(linked to\nsummaries below)	Incumbent	Incumbent	Incumbent	Most recent election results	2018 intent	Candidates
State\n(linked to\nsummaries below)	Senator	Party	Electoral\nhistory	Most recent election results	2018 intent	Candidates
