Country	2014	2013	2012	2010	2009	2008	2007	2006	2005	2004	2003	2002
Finland	(001)\n6.40	(001)\n6.38	(001)\n-10.00	(001)\n0.00	(001)\n0.00	(004)\n2.00	(005)\n1.50	(001)\n0.50	(001)\n0.50	(001)\n0.50	(001)\n0.50	(001)\n0.50
Netherlands	(002)\n6.46	(002)\n6.48	(003)\n-9.00	(001)\n0.00	(007)\n1.00	(016)\n4.00	(012)\n3.50	(001)\n0.50	(001)\n0.50	(001)\n0.50	(001)\n0.50	(001)\n0.50
Norway	(003)\n6.52	(003)\n6.52	(001)\n-10.00	(001)\n0.00	(001)\n0.00	(001)\n1.50	(001)\n0.75	(006)\n2.00	(001)\n0.50	(001)\n0.50	(001)\n0.50	(001)\n0.50
Luxembourg	(004)\n6.70	(004)\n6.68	(006)\n-7.00	(014)\n4.00	(020)\n4.00	(001)\n1.50	N/A	N/A	N/A	N/A	N/A	N/A
Andorra	(005)\n6.82	(005)\n6.82	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Liechtenstein	(006)\n7.02	(007)\n7.35	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Denmark	(007)\n7.43	(006)\n7.08	(010)\n-5.67	(011)\n2.50	(001)\n0.00	(014)\n3.50	(008)\n2.00	(019)\n5.00	(001)\n0.50	(001)\n0.50	(005)\n1.00	(010)\n3.00
Iceland	(008)\n8.50	(009)\n8.49	(006)\n-7.00	(001)\n0.00	(009)\n2.00	(001)\n1.50	(001)\n0.75	(001)\n0.50	(001)\n0.50	(001)\n0.50	(001)\n0.50	(001)\n0.50
New Zealand	(009)\n8.55	(008)\n8.38	(013)\n-5.33	(008)\n1.50	(013)\n3.00	(007)\n3.00	(015)\n4.17	(019)\n5.00	(012)\n2.00	(009)\n0.67	(017)\n2.83	N/A
Sweden	(010)\n8.98	(010)\n9.23	(012)\n-5.50	(001)\n0.00	(001)\n0.00	(007)\n3.00	(005)\n1.50	(014)\n4.00	(012)\n2.00	(011)\n2.00	(009)\n1.50	(007)\n1.50
Estonia	(011)\n9.63	(011)\n9.26	(003)\n-9.00	(009)\n2.00	(006)\n0.50	(004)\n2.00	(003)\n1.00	(006)\n2.00	(011)\n1.50	(011)\n2.00	(012)\n2.50	N/A
Austria	(012)\n10.01	(012)\n9.40	(005)\n-8.00	(007)\n0.50	(013)\n3.00	(014)\n3.50	(016)\n4.25	(016)\n4.50	(016)\n2.50	(017)\n3.25	(016)\n2.75	(026)\n7.50
Czech Republic	(013)\n10.07	(016)\n10.17	(014)\n-5.00	(023)\n7.50	(024)\n5.00	(016)\n4.00	(014)\n4.00	(005)\n0.75	(009)\n1.00	(019)\n3.50	(012)\n2.50	(041)\n11.25
Germany	(014)\n10.23	(017)\n10.24	(016)\n-3.00	(017)\n4.25	(018)\n3.50	(020)\n4.50	(020)\n5.75	(023)\n5.50	(018)\n4.00	(011)\n2.00	(008)\n1.33	(007)\n1.50
Switzerland	(015)\n10.47	(014)\n9.94	(008)\n-6.20	(001)\n0.00	(007)\n1.00	(007)\n3.00	(011)\n3.00	(008)\n2.50	(001)\n0.50	(001)\n0.50	(012)\n2.50	(015)\n4.25
Ireland	(016)\n10.87	(015)\n10.06	(015)\n-4.00	(009)\n2.00	(001)\n0.00	(004)\n2.00	(008)\n2.00	(001)\n0.50	(001)\n0.50	(001)\n0.50	(017)\n2.83	(006)\n1.00
Jamaica	(017)\n10.90	(013)\n9.88	(016)\n-3.00	(025)\n7.67	(023)\n4.75	(021)\n4.88	(027)\n8.63	(023)\n5.50	(034)\n7.50	(024)\n4.17	(021)\n3.33	N/A
Canada	(018)\n11.00	(020)\n12.70	(010)\n-5.67	(021)\n7.00	(019)\n3.70	(013)\n3.33	(018)\n4.88	(016)\n4.50	(021)\n4.50	(018)\n3.33	(010)\n1.83	(005)\n0.75
Poland	(019)\n11.03	(022)\n13.11	(024)\n-0.67	(032)\n8.88	(037)\n9.50	(047)\n9.00	(056)\n18.50	(058)\n14.00	(053)\n12.50	(032)\n6.83	(033)\n6.17	(029)\n7.75
Slovakia	(020)\n11.39	(023)\n13.25	(025)\n0.00	(035)\n11.50	(044)\n11.00	(007)\n3.00	(003)\n1.00	(008)\n2.50	(008)\n0.75	(001)\n0.50	(012)\n2.50	N/A
Costa Rica	(021)\n12.23	(018)\n12.08	(019)\n-2.25	(029)\n8.08	(030)\n8.00	(022)\n5.10	(021)\n6.50	(029)\n6.67	(041)\n8.50	(035)\n7.63	(024)\n3.83	(015)\n4.25
Namibia	(022)\n12.50	(019)\n12.50	(020)\n-2.00	(021)\n7.00	(035)\n9.00	(023)\n5.50	(025)\n8.50	(026)\n6.00	(025)\n5.50	(042)\n10.00	(056)\n11.00	(031)\n8.00
Belgium	(023)\n12.80	(021)\n12.94	(020)\n-2.00	(014)\n4.00	(011)\n2.50	(007)\n3.00	(005)\n1.50	(014)\n4.00	(018)\n4.00	(022)\n4.00	(007)\n1.17	(012)\n3.50
Cape Verde	(024)\n14.32	(025)\n14.33	(009)\n-6.00	(026)\n8.00	(044)\n11.00	(036)\n8.00	(045)\n14.00	(045)\n11.50	(029)\n6.00	(038)\n8.75	(047)\n8.25	(046)\n13.75
Cyprus	(025)\n14.45	(024)\n13.83	(016)\n-3.00	(045)\n13.40	(025)\n5.50	(031)\n7.50	(045)\n14.00	(030)\n7.50	(025)\n5.50	(081)\n22.00	(083)\n20.83	N/A
Uruguay	(026)\n16.08	(027)\n15.92	(032)\n4.25	(037)\n11.75	(029)\n7.63	(043)\n8.33	(037)\n11.75	(057)\n13.75	(046)\n9.75	(042)\n10.00	(025)\n4.00	(021)\n6.00
Ghana	(027)\n16.29	(030)\n17.27	(041)\n11.00	(026)\n8.00	(027)\n6.00	(031)\n7.50	(029)\n9.00	(034)\n8.50	(066)\n15.00	(057)\n13.50	(048)\n8.75	(067)\n23.00
Australia	(028)\n16.91	(026)\n15.24	(030)\n4.00	(018)\n5.38	(016)\n3.13	(028)\n6.25	(028)\n8.79	(035)\n9.00	(031)\n6.50	(041)\n9.50	(050)\n9.25	(012)\n3.50
Belize	(029)\n17.05	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Portugal	(030)\n17.73	(028)\n16.75	(033)\n5.33	(040)\n12.36	(030)\n8.00	(016)\n4.00	(008)\n2.00	(010)\n3.00	(023)\n4.83	(025)\n4.50	(028)\n5.17	(007)\n1.50
Suriname	(031)\n18.20	(031)\n18.19	(022)\n-1.00	(035)\n11.50	(042)\n10.60	(026)\n6.00	N/A	N/A	N/A	N/A	N/A	N/A
Lithuania	(032)\n19.20	(033)\n18.24	(030)\n4.00	(011)\n2.50	(010)\n2.25	(016)\n4.00	(023)\n7.00	(027)\n6.50	(021)\n4.50	(016)\n3.00	(017)\n2.83	N/A
United Kingdom	(033)\n19.93	(029)\n16.89	(028)\n2.00	(019)\n6.00	(020)\n4.00	(023)\n5.50	(024)\n8.25	(027)\n6.50	(024)\n5.17	(028)\n6.00	(027)\n4.25	(021)\n6.00
Slovenia	(034)\n20.38	(035)\n20.49	(036)\n9.14	(046)\n13.44	(037)\n9.50	(030)\n7.33	(021)\n6.50	(010)\n3.00	(009)\n1.00	(015)\n2.25	(020)\n3.00	(014)\n4.00
Spain	(035)\n20.63	(036)\n20.50	(039)\n9.75	(039)\n12.25	(044)\n11.00	(036)\n8.00	(033)\n10.25	(041)\n10.00	(040)\n8.33	(039)\n9.00	(042)\n7.67	(029)\n7.75
Organisation of Eastern Caribbean States	(036)\n20.81	(034)\n19.72	(025)\n0.00	(057)\n16.50	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Latvia	(037)\n21.10	(039)\n22.89	(050)\n15.00	(030)\n8.50	(013)\n3.00	(007)\n3.00	(012)\n3.50	(010)\n3.00	(016)\n2.50	(010)\n1.00	(011)\n2.25	N/A
El Salvador	(038)\n21.57	(038)\n22.86	(037)\n9.30	(051)\n15.83	(079)\n17.25	(062)\n12.80	(064)\n20.20	(041)\n10.00	(028)\n5.75	(028)\n6.00	(037)\n6.83	(033)\n8.75
France	(039)\n21.89	(037)\n21.60	(038)\n9.50	(044)\n13.38	(043)\n10.67	(035)\n7.67	(031)\n9.75	(035)\n9.00	(030)\n6.25	(019)\n3.50	(026)\n4.17	(011)\n3.25
Samoa	(040)\n22.02	(048)\n23.84	(054)\n17.00	(111)\n33.00	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Botswana	(041)\n22.91	(040)\n22.91	(042)\n12.00	(062)\n17.50	(062)\n15.50	(066)\n14.00	(075)\n23.50	(053)\n13.00	(060)\n14.00	(050)\n11.50	(062)\n13.00	N/A
South Africa	(042)\n23.19	(052)\n24.56	(042)\n12.00	(038)\n12.00	(033)\n8.50	(036)\n8.00	(043)\n13.00	(044)\n11.25	(031)\n6.50	(026)\n5.00	(021)\n3.33	(026)\n7.50
Trinidad and Tobago	(043)\n23.28	(044)\n23.12	(050)\n15.00	(030)\n8.50	(028)\n7.00	(027)\n6.13	(019)\n5.00	(019)\n5.00	(012)\n2.00	(011)\n2.00	(005)\n1.00	N/A
Papua New Guinea	(044)\n23.46	(041)\n22.97	(035)\n9.00	(042)\n13.33	(056)\n14.70	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Romania	(045)\n23.48	(042)\n23.05	(047)\n14.00	(052)\n16.00	(050)\n12.50	(047)\n9.00	(042)\n12.75	(058)\n14.00	(070)\n16.17	(070)\n17.83	(059)\n11.50	(045)\n13.25
United States	(046)\n23.49	(032)\n18.22	(047)\n14.00	(020)\n6.75	(020)\n4.00	(036)\n8.00	(048)\n14.50	(053)\n13.00	(044)\n9.50	(022)\n4.00	(031)\n6.00	(017)\n4.75
Haiti	(047)\n23.53	(049)\n24.09	(052)\n15.67	(056)\n16.38	(057)\n15.00	(073)\n15.13	(075)\n23.50	(087)\n19.50	(117)\n33.50	(125)\n42.13	(100)\n31.00	(106)\n36.50
Niger	(048)\n23.59	(043)\n23.08	(029)\n2.50	(104)\n28.50	(139)\n48.50	(130)\n37.00	(087)\n25.50	(095)\n24.50	(057)\n13.00	(071)\n18.33	(068)\n15.75	(053)\n18.50
Italy	(049)\n23.75	(057)\n26.11	(061)\n19.67	(049)\n15.00	(049)\n12.14	(044)\n8.42	(035)\n11.25	(040)\n9.90	(042)\n8.67	(039)\n9.00	(053)\n9.75	(040)\n11.00
Taiwan	(050)\n23.82	(047)\n23.82	(045)\n13.00	(048)\n14.50	(059)\n15.08	(036)\n8.00	(032)\n10.00	(043)\n10.50	(051)\n12.25	(060)\n14.25	(061)\n12.00	(035)\n9.00
