Ethnicity	Islam	Christianity	Judaism	Buddhism	Other	None / Atheism	n/a
TOTALS	70.20%	26.32%	0.03%	0.09%	0.02%	2.82%	0.51%
Kazakh	98.34%	0.39%	0.02%	0.01%	0.02%	0.98%	0.26%
Russian	1.43%	91.64%	0.04%	0.02%	0.03%	6.09%	0.75%
Uzbek	99.05%	0.39%	0.01%	0.01%	0.02%	0.37%	0.16%
Ukrainian	0.94%	90.74%	0.03%	0.01%	0.02%	7.31%	0.94%
Uyghur	98.35%	0.51%	0.02%	0.01%	0.03%	0.61%	0.47%
Tatar	79.57%	10.24%	0.02%	0.03%	0.06%	8.11%	1.97%
German	1.58%	81.59%	0.05%	0.04%	0.11%	13.96%	2.68%
Korean	5.24%	49.35%	0.21%	11.40%	0.14%	28.51%	5.16%
Turkish	99.13%	0.30%	0.01%	0.01%	0.02%	0.33%	0.21%
Azeri	94.81%	2.51%	0.02%	0.02%	0.03%	1.86%	0.76%
Belorussian	0.79%	90.16%	0.04%	0.01%	0.03%	7.82%	1.15%
Dungan	98.93%	0.37%	0.01%	0.03%	0.04%	0.34%	0.28%
Kurdish	98.28%	0.53%	0.03%	0.02%	0.02%	0.74%	0.38%
Tajik	97.78%	0.91%	0.01%	0.02%	0.08%	0.85%	0.35%
Polish	0.69%	90.07%	0.04%	0.01%	0.13%	7.30%	1.76%
Chechen	93.69%	2.99%	0.02%	0.01%	0.05%	2.08%	1.16%
Kyrgyz	96.67%	0.89%	0.03%	0.03%	0.02%	1.51%	0.86%
Others	34.69%	52.32%	0.82%	0.91%	0.13%	8.44%	2.69%
