"Rank","Bib","Country","Distance (m)","Points","Time difference"
"1","14","Germany
Tino Edelmann
Eric Frenzel","124.5
127.0","264.3
128.0
136.3","0:00"
"2","10","Japan
Akito Watabe
Taihei Kato","123.5
126.0","258.4
126.4
132.0","+0:12"
"3","12","Austria
Bernhard Gruber
Wilhelm Denifl","123.0
122.0","251.8
123.3
128.5","+0:25"
"4","11","France
Jason Lamy-Chappuis
Sébastien Lacroix","120.5
118.5","242.7
121.8
120.9","+0:43"
"5","13","Norway
Mikko Kokslien
Magnus Moan","118.0
118.5","238.1
116.8
121.3","+0:52"
"6","8","Czech Republic
Miroslav Dvořák
Pavel Churavý","114.5
120.0","232.8
110.7
122.1","+1:03"
"7","7","Slovenia
Mitja Oranič
Marjan Jelenko","109.5
123.5","227.8
99.5
128.3","+1:13"
"8","6","Finland
Ilkka Herola
Eetu Vähäsöyrinki","120.5
113.5","226.6
115.4
111.2","+1:15"
"9","4","Estonia
Han-Hendrik Piho
Kail Piho","113.0
113.0","217.5
107.4
110.1","+1:34"
"10","9","United States
Bill Demong
Taylor Fletcher","111.0
112.5","214.1
104.9
109.2","+1:40"
"11","1","Ukraine
Viktor Pasichnyk
Vitaliy Kalinichenko","107.0
115.0","206.2
95.7
110.5","+1:56"
"12","2","Russia
Ernest Yahin
Ivan Panin","110.0
109.5","204.8
101.8
103.0","+1:59"
"13","5","Italy
Armin Bauer
Alessandro Pittin","105.0
113.5","203.0
92.7
110.3","+2:03"
"14","3","Switzerland
Seppi Hurschler
Tim Hug","102.5
113.0","196.2
88.1
108.1","+2:16"
