"Week","Date","Opponent","Result","Attendance"
"1","September 13, 1987","San Diego Chargers","W 20–13","56,940"
"2","September 20, 1987","at Seattle Seahawks","L 43–14","61,667"
"–","September 27, 1987","Minnesota Vikings","canceled",""
"3","October 4, 1987","at Los Angeles Raiders","L 35–17","10,708"
"4","October 11, 1987","at Miami Dolphins","L 42–0","25,867"
"5","October 18, 1987","Denver Broncos","L 26–17","20,296"
"6","October 25, 1987","at San Diego Chargers","L 42–21","47,972"
"7","November 1, 1987","at Chicago Bears","L 31–28","63,498"
"8","November 8, 1987","Pittsburgh Steelers","L 17–16","45,249"
"9","November 15, 1987","New York Jets","L 16–9","40,718"
"10","November 22, 1987","Green Bay Packers","L 23–3","34,611"
"11","November 26, 1987","at Detroit Lions","W 27–20","43,820"
"12","December 6, 1987","at Cincinnati Bengals","L 30–27","46,489"
"13","December 13, 1987","Los Angeles Raiders","W 16–10","63,834"
"14","December 19, 1987","at Denver Broncos","L 20–17","75,053"
"15","December 27, 1987","Seattle Seahawks","W 41–20","20,370"
