|      | Year | Name               | City                       | Country       | Guests of Honor                                                                                                                                                             | Size          |
| 1st  | 1939 | Nycon I            | New York, New York         | United States | Frank R. Paul                                                                                                                                                               | 200           |
| 2nd  | 1940 | Chicon I           | Chicago, Illinois          | United States | E. E. "Doc" Smith                                                                                                                                                           | 128           |
| 3rd  | 1941 | Denvention I       | Denver, Colorado           | United States | Robert A. Heinlein                                                                                                                                                          | 90            |
| 4th  | 1946 | Pacificon I        | Los Angeles, California    | United States | A. E. van Vogt E. Mayne Hull                                                                                                                                                | 130           |
| 5th  | 1947 | Philcon I          | Philadelphia, Pennsylvania | United States | John W. Campbell, Jr.                                                                                                                                                       | 200           |
| 6th  | 1948 | Torcon I           | Toronto, Ontario           | Canada        | Robert Bloch (Pro) Bob Tucker (fan)                                                                                                                                         | 200           |
| 7th  | 1949 | Cinvention         | Cincinnati, Ohio           | United States | Lloyd A. Eshbach (pro) Ted Carnell (fan)                                                                                                                                    | 190           |
| 8th  | 1950 | Norwescon          | Portland, Oregon           | United States | Anthony Boucher                                                                                                                                                             | 400           |
| 9th  | 1951 | Nolacon I          | New Orleans, Louisiana     | United States | Fritz Leiber                                                                                                                                                                | 190           |
| 10th | 1952 | TASFiC (Chicon II) | Chicago, Illinois          | United States | Hugo Gernsback                                                                                                                                                              | 870           |
| 11th | 1953 | Philcon II         | Philadelphia, Pennsylvania | United States | Willy Ley                                                                                                                                                                   | 750           |
| 12th | 1954 | SFCon              | San Francisco, California  | United States | John W. Campbell, Jr.                                                                                                                                                       | 700           |
| 13th | 1955 | Clevention         | Cleveland, Ohio            | United States | Isaac Asimov (pro) Sam Moskowitz (mystery GoH)                                                                                                                              | 380           |
| 14th | 1956 | NyCon II           | New York, New York         | United States | Arthur C. Clarke                                                                                                                                                            | 850           |
| 15th | 1957 | Loncon I           | London                     | UK            | John W. Campbell, Jr.                                                                                                                                                       | 268           |
| 16th | 1958 | Solacon            | South Gate, California     | United States | Richard Matheson                                                                                                                                                            | 211           |
| 17th | 1959 | Detention          | Detroit, Michigan          | United States | Poul Anderson (pro) John Berry (fan)                                                                                                                                        | 371           |
| 18th | 1960 | Pittcon            | Pittsburgh, Pennsylvania   | United States | James Blish                                                                                                                                                                 | 568           |
| 19th | 1961 | Seacon             | Seattle, Washington        | United States | Robert A. Heinlein                                                                                                                                                          | 300           |
| 20th | 1962 | Chicon III         | Chicago, Illinois          | United States | Theodore Sturgeon                                                                                                                                                           | 730           |
| 21st | 1963 | Discon I           | Washington, D.C.           | United States | Murray Leinster                                                                                                                                                             | 600           |
| 22nd | 1964 | Pacificon II       | Oakland, California        | United States | Leigh Brackett (pro) Edmond Hamilton (pro) Forrest J Ackerman (fan)                                                                                                         | 523           |
| 23rd | 1965 | Loncon II          | London                     | UK            | Brian W. Aldiss                                                                                                                                                             | 350           |
| 24th | 1966 | Tricon             | Cleveland, Ohio            | United States | L. Sprague de Camp                                                                                                                                                          | 850           |
| 25th | 1967 | Nycon 3            | New York, New York         | United States | Lester del Rey (pro) Bob Tucker (fan)                                                                                                                                       | 1,500         |
