Date	Opposition	Result	Score	Brazil scorers	Competition
January 26, 1982	East Germany	W	3-1	Paulo Isidoro, Renato, Serginho Chulapa	International Friendly
March 3, 1982	Czechoslovakia	D	1-1	Zico	International Friendly
March 21, 1982	West Germany	W	1-0	Júnior	International Friendly
May 5, 1982	Portugal	W	3-1	Júnior, Éder, Zico	International Friendly
May 19, 1982	Switzerland	D	1-1	Zico	International Friendly
May 27, 1982	Republic of Ireland	W	7-0	Falcão, Sócrates (2), Serginho Chulapa (2), Luizinho, Zico	International Friendly
June 14, 1982	Soviet Union	W	2-1	Sócrates, Éder	World Cup
June 18, 1982	Scotland	W	4-1	Zico, Oscar, Éder, Falcão	World Cup
June 23, 1982	New Zealand	W	4-0	Zico (2), Falcão, Serginho Chulapa	World Cup
July 2, 1982	Argentina	W	3-1	Zico, Serginho Chulapa, Júnior	World Cup
July 5, 1982	Italy	L	2-3	Sócrates, Falcão	World Cup
