"Date","Opponent#","Rank#","Site","TV","Result","Attendance"
"9–4–2010","Miami (OH)*","#4","Ben Hill Griffin Stadium • Gainesville, FL","ESPN","W 34–12","90,178"
"9–11–2010","South Florida*","#8","Ben Hill Griffin Stadium • Gainesville, FL","SECN","W 38–14","90,612"
"9–18–2010","at Tennessee","#10","Neyland Stadium • Knoxville, TN","CBS","W 31–17","102,455"
"9–25–2010","Kentucky","#9","Ben Hill Griffin Stadium • Gainesville, FL","ESPNU","W 48–14","90,547"
"10–2–2010","at #1 Alabama","#7","Bryant-Denny Stadium • Tuscaloosa, AL","CBS","L 6–31","101,821"
"10–9–2010","#12 LSU","#14","Ben Hill Griffin Stadium • Gainesville, FL","ESPN","L 29–33","90,721"
"10–16–2010","Mississippi State","#22","Ben Hill Griffin Stadium • Gainesville, FL (HC)","ESPNU","L 7–10","90,517"
"10–30–2010","vs. Georgia","","EverBank Field • Jacksonville, FL","CBS","W 34–31 OT","84,444"
"11–6–2010","at Vanderbilt","","Vanderbilt Stadium • Nashville, TN","SECN","W 55–14","33,848"
"11–13–2010","#22 South Carolina","#24","Ben Hill Griffin Stadium • Gainesville, FL","ESPN","L 14–36","90,885"
"11–20–2010","Appalachian State*","","Ben Hill Griffin Stadium • Gainesville, FL","ESPN3","W 48–10","90,119"
"11–27–2010","at #22 Florida State*","","Doak Campbell Stadium • Tallahassee, FL","ABC","L 7–31","82,324"
"1–1–2011","vs. Penn State*","","Raymond James Stadium • Tampa, FL (Outback Bowl)","ABC","W 37–24","60,574"
