Date	Time	Opponent#	Rank#	Site	TV	Result	Attendance
September 1	2:30 PM	Nevada*	#19	Memorial Stadium • Lincoln, NE	ABC	W 52–10	84,078
September 8	11:00 AM	at Wake Forest*	#17	BB&T Field • Winston-Salem, NC	ESPN	W 20–17	32,483
September 15	7:00 PM	#1 USC*	#14	Memorial Stadium • Lincoln, NE	ABC	L 31–49	84,959
September 22	11:30 AM	Ball State*	#22	Memorial Stadium • Lincoln, NE	FSN PPV	W 41–40	84,294
September 29	1:05 PM	Iowa State	#22	Memorial Stadium • Lincoln, NE		W 35–17	84,703
October 6	8:15 PM	at #17 Missouri	#23	Faurot Field • Columbia, MO (Rivalry)	ESPN	L 6–41	70,049
October 13	11:30 AM	Oklahoma State		Memorial Stadium • Lincoln, NE	PPV	L 14–45	84,334
October 20	1:05 PM	Texas A&M		Memorial Stadium • Lincoln, NE		L 14–36	84,473
October 27	2:30 PM	at #16 Texas		Darrell K Royal–Texas Memorial Stadium • Austin, TX	ABC	L 25–28	85,968
November 3	11:30 AM	at #8 Kansas		Memorial Stadium • Lawrence, KS	FSN	L 39–76	51,910
November 10	11:30 AM	Kansas State		Memorial Stadium • Lincoln, NE	Versus	W 73–31	84,665
November 23	11:00 AM	at Colorado		Folsom Field • Boulder, CO (Rivalry)	ABC	L 51–65	51,403
