| State (linked to summaries below) | Incumbent Senator  | Incumbent Party | Incumbent Electoral history                                                                                  | Most recent election results       | 2018 intent                           | Candidates                            |
| Arizona                           | Jeff Flake         | Republican      | Jeff Flake (R) 49.2% Richard Carmona (D) 46.1% Marc Victor (L) 4.6%                                          | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| California                        | Dianne Feinstein   | Democratic      | Dianne Feinstein (D) 62.5% Elizabeth Emken (R) 37.5%                                                         | 1992 (special) 1994 2000 2006 2012 | Running                               | [Data unknown/missing. You can help!] |
| Connecticut                       | Chris Murphy       | Democratic      | Chris Murphy (D) 54.8% Linda McMahon (R) 43.1% Paul Passarelli (L) 1.7%                                      | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Delaware                          | Tom Carper         | Democratic      | Tom Carper (D) 66.4% Kevin L. Wade (R) 29.0% Alex Pires (I) 3.8%                                             | 2000 2006 2012                     | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Florida                           | Bill Nelson        | Democratic      | Bill Nelson (D) 55.2% Connie Mack IV (R) 42.2%                                                               | 2000 2006 2012                     | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Hawaii                            | Mazie Hirono       | Democratic      | Mazie Hirono (D) 62.6% Linda Lingle (R) 37.4%                                                                | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Indiana                           | Joe Donnelly       | Democratic      | Joe Donnelly (D) 50.0% Richard Mourdock (R) 44.2% Andrew Horning (L) 5.7%                                    | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Maine                             | Angus King         | Independent     | Angus King (I) 52.9% Charles E. Summers, Jr. (R) 30.7% Cynthia Dill (D) 13.3%                                | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Maryland                          | Ben Cardin         | Democratic      | Ben Cardin (D) 56.0% Dan Bongino (R) 26.3% S. Rob Sobhani (I) 16.4%                                          | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Massachusetts                     | Elizabeth Warren   | Democratic      | Elizabeth Warren (D) 53.7% Scott Brown (R) 46.3%                                                             | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Michigan                          | Debbie Stabenow    | Democratic      | Debbie Stabenow (D) 58.8% Pete Hoekstra (R) 38.0% Scotty Boman (L) 1.8%                                      | 2000 2006 2012                     | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Minnesota                         | Amy Klobuchar      | Democratic      | Amy Klobuchar (D) 65.2% Kurt Bills (R) 30.5% Stephen Williams (Independence) 2.6%                            | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Mississippi                       | Roger Wicker       | Republican      | Roger Wicker (R) 57.2% Albert N. Gore, Jr. (D) 40.6% Thomas Cramer (C) 1.2% Shawn O'Hara (Reform) 1%         | 2008 (special) 2012                | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Missouri                          | Claire McCaskill   | Democratic      | Claire McCaskill (D) 54.8% Todd Akin (R) 39.0% Jonathan Dine (L) 6.1%                                        | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Montana                           | Jon Tester         | Democratic      | Jon Tester (D) 48.6% Denny Rehberg (R) 44.9% Dan Cox (L) 6.6%                                                | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Nebraska                          | Deb Fischer        | Republican      | Deb Fischer (R) 57.8% Bob Kerrey (D) 42.2%                                                                   | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| Nevada                            | Dean Heller        | Republican      | Dean Heller (R) 45.9% Shelley Berkley (D) 44.7% David Lory VanderBeek (C) 4.9% None of These Candidates 4.5% | 2012                               | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
| New Jersey                        | Bob Menendez       | Democratic      | Bob Menendez (D) 58.9% Joe Kyrillos (R) 39.4%                                                                | 2006 2012                          | [Data unknown/missing. You can help!] | [Data unknown/missing. You can help!] |
