"Species","Country of origin","Total released","First release","Last release","Areas of release","Areas established","Pasture type"
"Bubas bison","France, Spain","1,613","April 1983","1996 (not by CSIRO)","WA","NSW, SA, WA","Winter rainfall"
"Copris elphenor Klug","South Africa","2,287","January 1977","May 1983","QLD","QLD","Summer rainfall"
"Copris hispanus Linnaeus","Spain","294","October 1983","June 1994","WA","WA","Winter rainfall"
"Euoniticellus africanus Harold","South Africa","49,009","October 1971","February 1984","NSW, QLD, SA, Tas, Vic, WA","NSW, QLD","Summer rainfall"
"Euoniticellus fulvus Goeze","France, Turkey","76,944","March 1978","February 1983","NSW, SA, Tas, Vic, WA","NSW, SA, Tas, Vic, WA","Winter rainfall"
"Euoniticellus intermedius Reiche","South Africa","248,637","November 1971","February 1984","ACT, NSW, NT, QLD, SA, Vic, WA","NSW, NT, QLD, SA, Vic, WA","Summer rainfall"
"Euoniticellus pallipes Fabricius","Iran, Turkey","46,642","March 1977","September 1982","NSW, SA, WA","NSW, SA, Vic, WA","Winter rainfall"
"Geotrupes spiniger Marsham","France","12,082","April 1979","December 1983","ACT, NSW, Tas, Vic","ACT, NSW, SA, Tas, Vic","Winter rainfall"
"Liatongus militaris Castelanu","South Africa (via Hawaii)","70,450","January 1968","November 1979","NSW, NT, QLD, WA","NSW, NT, QLD","Summer rainfall"
"Onitis alexis Fabricius","South Africa","186,441","August 1972","February 1984","NSW, NT, QLD, WA","NSW, NT, QLD, SA, Vic, WA","Rainfall, summer rainfall, winter rainfall"
"Onitis aygalus Fabricius","South Africa","18,682","January 1977","January 1982","NSW, SA, WA","NSW, SA, Vic, WA","Winter rainfall"
"Onitis caffer Boheman","South Africa","8,738","October 1979","April 1984","WA","QLD, NSW, SA","Summer rainfall, winter rainfall"
"Onitis pecuarius Lansberge","South Africa","11,395","November 1976","May 1979","NSW, QLD","NSW, QLD","Summer rainfall"
"Onitis vanderkelleni Lansberge","Kenya, Rwanda, Zaire","10,852","October 1974","February 1982","NSW, QLD","QLD","Summer rainfall"
"Onitis viridulus Bohemann","South Africa","8,008","September 1976","July 1980","NSW, NT, QLD","NSW, NT, QLD, WA","Summer rainfall"
"Onthophagus binodis Thunberg","South Africa","173,018","October 1971","February 1982","NSW, QLD, SA, Tas, Vic, WA, Norfolk Islands","NSW, QLD, SA, Tas, Vic, WA, Norfolk Islands","Winter rainfall"
"Onthophagus gazella Fabricius","South Africa","420,415","February 1968","February 1984","ACT, NSW, NT, QLD, SA, Tas, Vic, WA, Norfolk Islands","ACT, NSW, NT, QLD, SA, WA, Norfolk Islands","Summer rainfall"
"Onthophagus nigiventris d'Orbigny","East Africa","29,960","May 1975","March 1983","NSW","NSW","Summer rainfall"
"Onthophagus obliquus","Nigeria, Senegal, Zaire","9,300","January 1976","November 1977","QLD, NT","QLD","Summer rainfall"
"Onthophagus sagittarius","Sri Lanka (via Hawaii)","9,075","January 1968","March 1977","NSW, NT, QLD, WA","NSW, NT","Summer rainfall"
"Onthophagus taurus Schreber","Spain, Greece, Italy, Turkey","164,499","February 1975","January 1984","NSW, SA, Tas, Vic, WA","NSW, SA, Tas, Vic, WA","Winter rainfall"
"Sisyphus rubrus Paschalidis","South Africa","85,933","March 1973","February 1980","NSW, QLD, WA","NSW, QLD","Summer rainfall"
"Sisyphus spinipes","South Africa","36,125","March 1972","December 1978","NSW, NT, QLD, WA","NSW, QLD","Summer rainfall"
"","Total:","1,680,399","","","","",""
