Match	Date	Ground	Opponent	Score1	Pos.	Pts.	GD
1	15 August	A	Bayer Uerdingen	3 – 0	1	2	3
2	22 August	H	1. FC Kaiserslautern	1 – 0	1	4	4
4	29 August	H	Dynamo Dresden	3 – 1	1	6	6
5	2 September	A	1. FC Köln	3 – 1	1	8	8
6	5 September	H	Hamburger SV	4 – 0	1	10	12
7	19 September	H	SG Wattenscheid 09	1 – 1	1	11	12
8	25 September	A	Borussia Dortmund	2 – 1	1	13	13
9	3 October	H	Borussia Mönchengladbach	2 – 2	1	14	13
10	17 October	A	1. FC Saarbrücken	1 – 1	1	15	13
11	24 October	H	Werder Bremen	1 – 3	1	15	11
3	27 October	A	Eintracht Frankfurt	1 – 1	1	16	11
12	31 October	A	VfB Stuttgart	3 – 2	1	18	12
13	14 November	H	1. FC Nürnberg	1 – 0	1	20	13
14	21 November	A	Bayer Leverkusen	4 – 2	1	22	15
15	28 November	H	Karlsruher SC	3 – 3	1	23	15
16	5 December	A	VfL Bochum	2 – 2	1	24	15
17	12 December	H	Schalke 04	1 – 1	1	25	15
18	20 February	H	Bayer Uerdingen	2 – 0	1	27	17
19	27 February	A	1. FC Kaiserslautern	3 – 1	1	29	19
20	6 March	H	Eintracht Frankfurt	1 – 0	1	31	20
21	13 March	A	Dynamo Dresden	0 – 0	1	32	20
22	20 March	H	1. FC Köln	3 – 0	1	34	23
23	28 March	A	Hamburger SV	1 – 3	1	34	21
24	2 April	A	SG Wattenscheid 09	0 – 2	1	34	19
25	10 April	H	Borussia Dortmund	2 – 0	1	36	21
26	17 April	A	Borussia Mönchengladbach	2 – 2	1	37	21
27	23 April	H	1. FC Saarbrücken	6 – 0	1	39	27
28	26 April	A	Werder Bremen	1 – 4	1	39	24
29	30 April	H	VfB Stuttgart	5 – 3	1	41	26
30	8 May	A	1. FC Nürnberg	0 – 0	1	42	26
31	15 May	H	Bayer Leverkusen	4 – 1	1	44	29
32	23 May	A	Karlsruher SC	2 – 4	1	44	27
33	29 May	H	VfL Bochum	3 – 1	2	46	29
34	5 June	A	Schalke 04	3 – 3	2	47	29
