"Team","No","Driver","Class","Rounds"
"Josef Kaufmann Racing","4","Robin Frijns","","All"
"Josef Kaufmann Racing","5","Hannes van Asseldonk","R","All"
"Josef Kaufmann Racing","6","Petri Suvanto","R","All"
"Mücke Motorsport","7","Maciej Bernacik","R","All"
"Mücke Motorsport","8","Timmy Hansen","","All"
"EuroInternational","11","Daniil Kvyat","R","All"
"EuroInternational","12","Carlos Sainz, Jr.","R","All"
"EuroInternational","14","Michael Lewis","","All"
"DAMS","15","Javier Tarancón","","All"
"DAMS","16","Dustin Sofyan","","5"
"DAMS","16","Luciano Bacheta","","7–8"
"DAMS","17","Fahmi Ilyas","","1–6"
"DAMS","17","Dustin Sofyan","","8"
"Eifelland Racing","18","Facundo Regalia","","All"
"Eifelland Racing","19","Côme Ledogar","","All"
"Eifelland Racing","20","Marc Coleselli","R","All"
"Fortec Motorsport","24","Jack Harvey","","All"
"Fortec Motorsport","25","George Katsinis","","All"
"Fortec Motorsport","26","Christof von Grünigen","","All"
