#	Date	Venue	Opponent	Score	Result	Competition
1.	1 May 2000	Rasmee Dhandu Stadium, Malé, Maldives	Maldives	1–1	1–1	2000 MFF Golden Jubilee Tournament
2.	25 August 2000	Ho Chi Minh City, Vietnam	Vietnam	2–1	2–2	2000 HCM Cup
3.	28 March 2001	Colombo, Sri Lanka	Cambodia	1–0	1–0	Friendly
4.	17 May 2001	Beirut Municipal Stadium, Beirut, Lebanon	Pakistan	3–2	3–3	2002 FIFA World Cup qualification (AFC)
5.	30 May 2001	Suphachalasai Stadium, Bangkok, Thailand	Pakistan	1–0	3–1	2002 FIFA World Cup qualification (AFC)
6.	30 May 2001	Supachalasai Stadium, Bangkok, Thailand	Pakistan	3–0	3–1	2002 FIFA World Cup qualification (AFC)
7.	4 April 2002	Sugathadasa Stadium, Colombo, Sri Lanka	Maldives	1–0	1–0	Friendly
8.	21 March 2003	Sugathadasa Stadium, Colombo, Sri Lanka	Timor-Leste	1–1	3–2	2004 AFC Asian Cup qualification
9.	21 March 2003	Sugathadasa Stadium, Colombo, Sri Lanka	Timor-Leste	3–2	3–2	2004 AFC Asian Cup qualification
10.	3 December 2003	Sugathadasa Stadium, Colombo, Sri Lanka	Laos	2–0	3–0	2006 FIFA World Cup qualification (AFC)
11.	2 April 2006	MA Aziz Stadium, Chittagong, Bangladesh	Brunei	2–0	3–0	2006 AFC Challenge Cup
12.	12 April 2006	MA Aziz Stadium, Chittagong, Bangladesh	Nepal	1–0	1–1	2006 AFC Challenge Cup
13.	24 March 2007	Sugathadasa Stadium, Colombo, Sri Lanka	Malaysia	1–4	1–4	Friendly
14.	2 April 2008	Chungshan Stadium, Taipei, Taiwan	Guam	5–1	5–1	2008 AFC Challenge Cup qualification
15.	4 April 2008	Chungshan Stadium, Taipei, Taiwan	Pakistan	1–0	7–1	2008 AFC Challenge Cup qualification
16.	4 April 2008	Chungshan Stadium, Taipei, Taiwan	Pakistan	4–1	7–1	2008 AFC Challenge Cup qualification
17.	4 April 2008	Chungshan Stadium, Taipei, Taiwan	Pakistan	7–1	7–1	2008 AFC Challenge Cup qualification
18.	6 April 2008	Chungshan Stadium, Taipei, Taiwan	Chinese Taipei	2–2	2–2	2008 AFC Challenge Cup qualification
19.	2 August 2008	Gachibowli Athletic Stadium, Hyderabad, India	Myanmar	1–1	1–3	2008 AFC Challenge Cup
20.	4 April 2009	Sugathadasa Stadium, Colombo, Sri Lanka	Brunei	1–0	5–1	2010 AFC Challenge Cup qualification
21.	4 April 2009	Sugathadasa Stadium, Colombo, Sri Lanka	Brunei	3–0	5–1	2010 AFC Challenge Cup qualification
22.	4 April 2009	Sugathadasa Stadium, Colombo, Sri Lanka	Brunei	4–0	5–1	2010 AFC Challenge Cup qualification
23.	4 April 2009	Sugathadasa Stadium, Colombo, Sri Lanka	Brunei	5–0	5–1	2010 AFC Challenge Cup qualification
24.	6 April 2009	Sugathadasa Stadium, Colombo, Sri Lanka	Chinese Taipei	1–0	2–1	2010 AFC Challenge Cup qualification
25.	6 December 2009	Bangabandhu National Stadium, Dhaka, Bangladesh	Bhutan	3–0	6–0	2009 South Asian Football Federation Cup
26.	6 December 2009	Bangabandhu National Stadium, Dhaka, Bangladesh	Bhutan	4–0	6–0	2009 South Asian Football Federation Cup
27.	6 December 2009	Bangabandhu National Stadium, Dhaka, Bangladesh	Bhutan	5–0	6–0	2009 South Asian Football Federation Cup
