| Year | Ring name (Birth name)                   | Inducted by                              | Inducted for            | Notes                                                                                                                                                                                                                                                   |
| 2007 | Gene Anderson                            | Bill Eadie                               | Wrestling               | Posthumous induction; won the NWA World Tag Team Championship (Mid-Atlantic version) (7 times) and NWA Georgia Tag Team Championship (7 times)                                                                                                          |
| 2007 | Ole Anderson (Alan Rogowski)             | Bill Eadie                               | Wrestling               | Won the NWA Mid-Atlantic/Atlantic Coast Tag Team Championship (7 times) and NWA World Tag Team Championship (Mid-Atlantic version) (8 times)                                                                                                            |
| 2007 | Penny Banner (Mary Ann Kostecki)         | Nickla Roberts                           | Women's wrestling       | Won the NWA Women's World Tag Team Championship (1 time)                                                                                                                                                                                                |
| 2007 | Bob Caudle                               | David Crockett                           | Announcing              | Worked as commentator for Jim Crockett Promotions                                                                                                                                                                                                       |
| 2007 | Swede Hanson (Robert Ford Hanson)        | Gary Hart                                | Wrestling               | Posthumous induction; won the NWA Atlantic Coast Tag Team Championship (4 times) and NWA Southern Tag Team Championship (Mid-Atlantic version) (1 time)                                                                                                 |
| 2007 | Rip Hawk (Harvey Evers)                  | Gary Hart                                | Wrestling               | Won the NWA Eastern States Heavyweight Championship (4 times) and NWA Mid-Atlantic/Atlantic Coast Tag Team Championship (5 times)                                                                                                                       |
| 2007 | George Scott                             | Tommy Young                              | Wrestling and Promoting | Won the NWA Southern Tag Team Championship (Mid-Atlantic version) (2 times) and worked as booker for Jim Crockett Promotions                                                                                                                            |
| 2008 | Paul Jones (Paul Frederick)              | Jack Brisco                              | Wrestling and Managing  | Won the NWA Mid-Atlantic Heavyweight Championship (3 times), NWA World Tag Team Championship (Mid-Atlantic version) (6 times), and NWA Mid-Atlantic/Atlantic Coast Tag Team Championship (6 times); managed Paul Jones' Army in Jim Crockett Promotions |
| 2008 | Ivan Koloff (Oreal Perras)               | Don Kernodle                             | Wrestling               | Won the NWA Mid-Atlantic Heavyweight Championship (3 times) and NWA World Tag Team Championship (Mid-Atlantic version) (4 times)                                                                                                                        |
| 2008 | Thunderbolt Patterson (Claude Patterson) | Ole Anderson                             | Wrestling               | Won the NWA Georgia Tag Team Championship (3 times) and NWA Atlantic Coast Tag Team Championship (1 time)                                                                                                                                               |
| 2008 | Buddy Roberts (Dale Hey)                 | Jimmy Garvin and Michael Hayes           | Wrestling               | Won the NWA World Six-Man Tag Team Championship (Texas version) / WCWA World Six-Man Tag Team Championship (6 times) and NWA Mid-Atlantic Tag Team Championship (1 time)                                                                                |
| 2008 | Sandy Scott (Angus Mackay Scott)         | Bob Caudle                               | Wrestling and Promoting | Worked as an executive for Jim Crockett Promotions and won the NWA World Tag Team Championship (Central States version) (1 time) and NWA Southern Tag Team Championship (Mid-Atlantic version) (3 times)                                                |
| 2008 | Grizzly Smith (Aurelian Smith)           | Magnum T.A.                              | Wrestling               | Won the NWA United States Tag Team Championship (Tri-State version) (2 times) and NWA Texas Heavyweight Championship (1 time)                                                                                                                           |
| 2008 | Johnny Weaver (Kenneth Eugene Weaver)    | Rip Hawk                                 | Wrestling               | Posthumous induction; won the NWA Atlantic Coast/Mid-Atlantic Tag Team Championship (8 times) and NWA Southern Tag Team Championship (Mid-Atlantic version) (6 times)                                                                                   |
| 2009 | Don Fargo (Don Kalt)                     | Jerry Jarrett & Steve Keirn              | Wrestling               | Won the NWA Southern Tag Team Championship (Mid-America version) (2 times) and NWA World Tag Team Championship (Mid-America version) (6 times)                                                                                                          |
| 2009 | Jackie Fargo (Henry Faggart)             | Jerry Jarrett & Steve Keirn              | Wrestling               | Won the NWA World Tag Team Championship (Mid-America version) (10 times) and NWA Southern Tag Team Championship (Mid-America version) (22 times)                                                                                                        |
| 2009 | Sonny Fargo (Jack Lewis Faggart)         | Jerry Jarrett & Steve Keirn              | Wrestling               | Posthumous induction; won the NWA Southern Tag Team Championship (Mid-America version) (3 times)                                                                                                                                                        |
| 2009 | Gary Hart (Gary Williams)                | Sir Oliver Humperdink                    | Managing and Promoting  | Posthumous induction; worked as a booker in World Class Championship Wrestling and managed several wrestlers in Mid-Atlantic Championship Wrestling                                                                                                     |
| 2009 | Wahoo McDaniel (Edward McDaniel)         | Tully Blanchard                          | Wrestling               | Posthumous induction; won the NWA Mid-Atlantic Heavyweight Championship (6 times) and NWA World Tag Team Championship (Mid-Atlantic version) (4 times)                                                                                                  |
| 2009 | Blackjack Mulligan (Robert Windham)      | Ric Flair                                | Wrestling               | Won the NWA Texas Heavyweight Championship (1 time) and NWA World Tag Team Championship (Mid-Atlantic version) (1 time)                                                                                                                                 |
| 2009 | Nelson Royal                             | Brad Anderson, Tommy Angel & David Isley | Wrestling               | Won the NWA Atlantic Coast Tag Team Championship (2 times)                                                                                                                                                                                              |
| 2009 | Lance Russell                            | Dave Brown                               | Announcing              | Worked as commentator for wrestling events in the Memphis area                                                                                                                                                                                          |
