Year	Title	Peak chart positions\nGER	Label	Artist
1981	Savoir faire	—	Capitol	Mink DeVille
1993	Spanish Stroll 1977-1987	—	Disky, Raven	Mink DeVille
1995	Les inoubliables de Willy DeVille	—	Wagram	Willy DeVille
1996	Love & Emotion: The Atlantic Years	54	Atlantic	Mink DeVille
1996	Mink/Willy DeVille Greatest Hits	—	EMI	Mink DeVille
1996	Spanish Stroll	—	Disky	Mink DeVille
1996	Best of Willy DeVille	—	Arcade	Willy DeVille
1997	His Greatest Hits	—	Arcade	Mink DeVille
1997	Premium Gold Collection	—	EMI	Mink DeVille
1997	The Best of Mink DeVille	—	EMI	Mink DeVille
1999	Collection légende	—	Wagram	Willy DeVille
2001	Cadillac Walk: The Mink DeVille Collection	—	Capitol	Mink DeVille
2003	Greatest Hits	—	EMI	Mink DeVille
2005	Mink DeVille	—	Disky	Mink DeVille
2009	Introducing Willy DeVille	—	Edel	Willy DeVille
