Region	Country	Location	Size (m)	Payload (metric tonnes)	Degrees of Freedom	X Horiz Disp (mm)	Y Horiz Disp (mm)	Z Vert Disp (mm)	X Horiz Vel (mm/s)	Y Horiz vel (mm/s)	Z Vert vel (mm/s)	X Horiz accel (m/s2)	Y Horiz accel (m/s2)	Z Vert accel (m/s2)	Max Freq (Hz)	Details checked
Africa	Algeria	CGS Laboratory (in construction)	6.1 x 6.1	60	6	±150	±250	±100	±1100	±1100	±1000	±10	±10	±8	100	30/6/2010
Africa	South Africa	University of Witwatersrand	4 x 4	10	1	±750	n/a	n/a	±1000	n/a	n/a	±10	n/a	n/a	40	17/7/2009
Asia	China	China Academy of Building Research, Beijing	6.1 x 6.1	60	6	±150	±250	±100	±1000	±1200	±800	±15	±10	±8	50	?
Asia	China	Guangzhou University	3 x 3	20	6	±100	±100	±50	±1000	±1000	±1000	±26	±26	±50	50	10/7/2008
Asia	China	Nanjing University of Technology	3 x 5	15	3	±120	±120	±120	±500	±500	±500	±10	±10	±10	50	?
Asia	China	Tongji University, Shanghai	4 x 4	25	6	±100	±50	±50	±1000	±600	±600	±40	±20	±40	50	?
Asia	China	Xi'a University of Architecture & Technology	2 x 2	?	?	?	?	?	?	?	?	?	?	?	?	?
Asia	Singapore	Nanyang Technological University	3 x 3	10	1	±120	n/a	n/a	±650	n/a	n/a	±20	n/a	n/a	50	23/7/2008
Asia	Hong Kong	City University of Hong Kong	?	?	?	?	?	?	?	?	?	?	?	?	?	?
Asia	Hong Kong	Hong Kong Polytechnic University	3 x 3	10	?	?	?	?	?	?	?	10	?	?	?	?
Asia	India	Jamia Millia Islamia,New Delhi	5 x 5	20	1	±500	n/a	n/a	?	?	?	±20	n/a	n/a	100	?
Asia	India	IIT Guwahati	2.5 x 2.5	5	1	±500	n/a	n/a	?	?	?	±20	n/a	n/a	100	?
Asia	India	CPRI Bangalore,Karnataka	3 x 3	10	6	?	?	?	?	?	?	?	?	?	?	?
Asia	India	IISc, Bangalore	1 x 1	0.5	6	±220	±220	±100	±570	±570	±570	±30	±30	±20	50	23/7/2008
Asia	India	SERC, Chennai (1 of 3), Tamil Nadu	4 x 4	30	3	?	?	?	?	?	?	?	?	?	?	?
Asia	India	SERC, Chennai (2 of 3),Tamil Nadu	2 x 2	5	3	?	?	?	?	?	?	?	?	?	?	?
Asia	India	SERC, Chennai (3 of 3),Tamil Nadu	3 x 3	10	6	?	?	?	?	?	?	?	?	?	?	?
Asia	India	Indira Gandhi Centre for Atomic Research(IGCAR), Chennai,Tamil Nadu	3 x 3	10	6	±100	±100	±100	300	300	?	±14.715	±14.715	9.81	100	?
Asia	India	IIT Roorkee,Uttarakhand	3.5 x 3.5	20	2	?	n/a	?	?	n/a	?	?	n/a	?	?	?
Asia	India	IIT Kanpur,Uttar Pradesh	1.2 x 1.8	4	1	±75	n/a	n/a	±1500	n/a	n/a	±50	n/a	n/a	50	25/6/2009
Asia	India	Bengal Engineering and Science University, Shibpur,West Bengal	1.5 x 1.5	?	1	?	n/a	n/a	?	n/a	n/a	?	n/a	n/a	?	19/11/2009
Asia	Iran	Iran University of Science & Technology (IUST)	2 x 0.5	5	1	±60	n/a	n/a	?	n/a	n/a	±6.5	n/a	n/a	?	?
Asia	Iran	Sharif University of Technology (SUT))	4 x 4	30	3	±125	±200	?	±500	±800	?	±50	±40	?	50	7/19/2011
Asia	Japan	Aichi Institute of Technology	11 x 6	136	1	±150	?	?	±1000	?	?	±10	?	?	50	?
Asia	Japan	Building Research Institute	3 x 4	20	3	?	?	?	?	?	?	?	?	?	?	?
Asia	Japan	Central Research Institute of Electric Power Industry	5 x 5	60	1	±500	n/a	n/a	±1500	n/a	n/a	±10	n/a	n/a	30	12/3/2008
Asia	Japan	NIED ‘E-Defence’ Laboratory, Miki City	20 x 15	1200	6	±1000	±1000	±500	±2000	±2000	±700	±9	±9	±15	50	3/3/2008
Asia	Japan	Fujita Corporation	4 x 4	25	1	±500	n/a	n/a	±1500	n/a	n/a	±10	n/a	n/a	50	?
Asia	Japan	Hazama Corp Ltd.	6 x 4	80	3	±300	±150	±100	±1150	?	?	±20	±3	±2	50	?
Asia	Japan	Hitachi Engineering Corp	4 x 4	20	1	±150	?	?	±750	?	?	±20	?	?	30	?
Asia	Japan	Ishikawajima Harima Heavy Ind Corp.	4.5 x 4.5	35	6	±100	±100	±67	±750	±750	±500	±15	±15	±10	50	?
Asia	Japan	JDC Corp.	?	20	6	±300	?	?	±1000	?	?	±10	?	?	50	?
Asia	Japan	Kawasaki Heavy Industries Corp.	?	30	3	±75	?	?	±400	?	?	±10	?	?	50	?
Asia	Japan	Kajima Corp. Ltd. (1 of 2)	5 x 5	50	6	±200	±200	±100	±1000	±1000	±500	±20	±20	±20	60	3/3/2008
Asia	Japan	Kajima Corp. Ltd. (2 of 2)	4 x 4	20	2	±150	n/a	±75	±1140	n/a	±4450	±20	n/a	±10	50	?
Asia	Japan	Kumagai-Gumi Corp Ltd	5 x 5	64	6	±80	±260	±50	±600	±1500	±500	±30	±10	±10	70	?
Asia	Japan	Kyoto University	5 x 3	14	6	±300	?	?	±1500	?	?	±10	?	?	50	?
Asia	Japan	Kyoto University Disaster Prevention Research Centre	3.5 diameter	?	6	?	?	?	?	?	?	?	?	?	?	?
Asia	Japan	Ministry of Construction	6 x 8	100	2	±75	n/a	?	±600	n/a	?	±7	n/a	?	30	?
Asia	Japan	Mitsubishi Electric Corp.	?	40	2	±100	?	?	±700	?	?	±25	?	?	30	?
Asia	Japan	Mitsubishi Heavy Industries Corp.	?	100	3	±50	?	?	±1500	?	?	±20	?	?	50	?
Asia	Japan	National Research Institute of Agriculture Engineering	6 x 4	45	3	±150	?	?	±750	?	?	±10	?	?	40	?
Asia	Japan	NIED (Nat. Inst. for Disaster Prevention) (1 of 2)	6 x 6	1100	3	±1000	?	?	±2000	?	?	±10	?	?	15	?
Asia	Japan	NIED (Nat. Inst. for Disaster Prevention) (2 of 2)	12 x 12	500	1	±220	?	?	±900	?	?	±10	?	?	50	?
