"Week","Date","Song title","Performer","Album title","Performer"
"1","3 January 2014","\"Timber\"","Pitbull feat. Ke$ha","True","Avicii"
"2","10 January 2014","\"Timber\"","Pitbull feat. Ke$ha","True","Avicii"
"3","17 January 2014","\"I See Fire\"","Ed Sheeran","High Hopes","Bruce Springsteen"
"4","24 January 2014","\"I See Fire\"","Ed Sheeran","High Hopes","Bruce Springsteen"
"5","31 January 2014","\"I See Fire\"","Ed Sheeran","True","Avicii"
"6","7 February 2014","\"I See Fire\"","Ed Sheeran","Sjunger Sinatra","Christer Sjögren"
"7","14 February 2014","\"I See Fire\"","Ed Sheeran","Sjunger Sinatra","Christer Sjögren"
"8","21 February 2014","\"I See Fire\"","Ed Sheeran","True","Avicii"
"9","28 February 2014","\"I See Fire\"","Ed Sheeran","True","Avicii"
"10","7 March 2014","\"Busy Doin' Nothin'\"","Ace Wilder","True","Avicii"
"11","14 March 2014","\"Busy Doin' Nothin'\"","Ace Wilder","True","Avicii"
"12","21 March 2014","\"Busy Doin' Nothin'\"","Ace Wilder","All Turns Red","Takida"
"13","28 March 2014","\"Busy Doin' Nothin'\"","Ace Wilder","Together We Stand Alone","Yohio"
