Year	Party Affiliation	Winner	Number of Votes	Party Affiliation	Loser	Number of Votes	Percentage of Votes
1920	Republican	William F. Kopp	38,100	Democrat	E.W. McManus	20,977	64% - 36%
1922	Republican	William F. Kopp	26,651	Democrat	John M. Lindley	14,056	65% - 34%
1924	Republican	William F. Kopp	42,711	Democrat	James M. Bell	17,110	71% - 29%
1926	Republican	William F. Kopp	27,358	Democrat	James M. Bell	11,408	71% - 29%
1928	Republican	William F. Kopp	45,806	N/A	No Opponent	N/A	100% - 0%
1930	Republican	William F. Kopp	27,053	Democrat	Max A. Conrad	15,538	63% - 36%
1932	Democrat	Edward C. Eicher	55,378	Republican	William F. Kopp	46,738	54% - 46%
1934	Democrat	Edward C. Eicher	48,544	Republican	E. R. Hicklin	39,047	55% - 44%
1936	Democrat	Edward C. Eicher	55,721	Republican	John N. Calhoun	53,474	51% - 49%
1938	Republican	Thomas E. Martin	46,636	Democrat	James P. Gaffney	33,765	58% - 42%
1940	Republican	Thomas E. Martin	70,120	Democrat	Mrs. Zoe S. Nabers	46,040	60% - 40%
1942	Republican	Thomas E. Martin	55,139	Democrat	Vern W. Nall	32,893	61% - 37%
1944	Republican	Thomas E. Martin	72,729	Democrat	Clair A. Williams	60,048	55% - 45%
1946	Republican	Thomas E. Martin	52,488	Democrat	Clair A. Williams	32,849	62% - 38%
1948	Republican	Thomas E. Martin	70,959	Democrat	James D. France	60,860	53% - 46%
1950	Republican	Thomas E. Martin	70,058	Democrat	James D. France	43,140	62% - 38%
1952	Republican	Thomas E. Martin	105,526	Democrat	Clair A. Williams	62,011	63% - 37%
1954	Republican	Fred Schwengel	67,128	Democrat	John O'Connor	50,577	57% - 43%
1956	Republican	Fred Schwengel	94,223	Democrat	Ronald O. Bramhall	68,287	58% - 42%
1958	Republican	Fred Schwengel	59,577	Democrat	Thomas J. Dailey	51,996	53% - 47%
1960	Republican	Fred Schwengel	104,737	Democrat	Walter J. Guenther	67,287	61% - 39%
1962	Republican	Fred Schwengel	65,975	Democrat	Harold Stephens	42,000	61% - 39%
1964	Democrat	John R. Schmidhauser	84,042	Republican	Fred Schwengel	80,697	51% - 49%
1966	Republican	Fred Schwengel	64,795	Democrat	John R. Schmidhauser	60,534	51% - 48%
1968	Republican	Fred Schwengel	91,419	Democrat	John R. Schmidhauser	81,049	53% - 47%
1970	Republican	Fred Schwengel	60,270	Democrat	Edward Mezvinsky	59,505	50% - 49%
1972	Democrat	Edward Mezvinsky	107,099	Republican	Fred Schwengel	91,609	53% - 46%
1974	Democrat	Edward Mezvinsky	75,687	Republican	James A. Leach	63,540	54% - 46%
1976	Republican	James A. Leach	109,694	Democrat	Edward Mezvinsky	101,024	52% - 48%
1978	Republican	James A. Leach	79,940	Democrat	Richard E. Meyers	45,037	63% - 36%
1980	Republican	James A. Leach	133,349	Democrat	Jim Larew	72,602	64% - 35%
1982	Republican	James A. Leach	89,595	Democrat	Bill Gluba	61,734	59% - 41%
1984	Republican	James A. Leach	131,182	Democrat	Kevin Ready	65,293	68% - 33%
1986	Republican	James A. Leach	86,834	Democrat	John R. Whitaker	43,985	66% - 34%
1988	Republican	James A. Leach	112,746	Democrat	Bill Gluba	71,280	61% - 38%
1990	Republican	James A. Leach	90,042	Scattering	Scattering	151	99% - 1%
1992	Republican	James A. Leach	178,042	Democrat	Jan J. Zonneveld	81,600	68% - 31%
1994	Republican	James A. Leach	110,448	Democrat	Glen Winekauf	69,461	60% - 38%
1996	Republican	James A. Leach	129,242	Democrat	Bob Rush	111,595	53% - 46%
1998	Republican	James A. Leach	106,419	Democrat	Bob Rush	79,529	57% - 42%
2000	Republican	James A. Leach	164,972	Democrat	Bob Simpson	96,283	62% - 36%
2002	Republican	Jim Nussle	112,280	Democrat	Ann Hutchinson	83,779	57% - 43%
2004	Republican	Jim Nussle	159,993	Democrat	Bill Gluba	125,490	55% - 44%
2006	Democrat	Bruce Braley	113,724	Republican	Mike Whalen	89,471	56% - 44%
2008	Democrat	Bruce Braley	178,229	Republican	David Hartsuch	99,447	64% - 35%
2010	Democrat	Bruce Braley	103,931	Republican	Ben Lange	99,976	49% - 48%
