Common name	District	Hebrew	Arabic	Population\n(2009)	Area\n(km²)	Mayor
Acre	North	עכו	عكا	46,300	13.533	Shimon Lancry
Afula	North	עפולה	العفولة	40,500	26.909	Avi Elkabetz
Arad	South	ערד	عراد	23,400	93.140	Tali Ploskov
Ariel	Judea & Samaria\n(West Bank)	אריאל	أريأل	17,600	14.677	Eliyahu Shaviro
Ashdod	South	אשדוד	أشدود	206,400	47.242	Yehiel Lasri
Ashkelon	South	אשקלון	عسقلان	111,900	47.788	Benny Vaknin
Baqa-Jatt	Haifa	באקה-ג'ת	باقة جت	34,300	16.392	Yitzhak Veled
Bat Yam	Tel Aviv	בת ים	بات يام	130,000	8.167	Shlomo Lahiani
Beersheba	South	באר שבע	بئر السبع	197,300	52.903	Rubik Danilovich
Beit She'an	North	בית שאן	بيسان	16,900	7.330	Jacky Levi
Beit Shemesh	Jerusalem	בית שמש	بيت شيمش	77,100	34.259	Moshe Abutbul
Beitar Illit	Judea & Samaria\n(West Bank)	ביתר עילית	بيتار عيليت	35,000	6.801	Meir Rubenstein
Bnei Brak	Tel Aviv	בני ברק	بني براك	154,400	7.088	Ya'akov Asher
Dimona	South	דימונה	ديمونة	32,400	29.877	Meir Cohen
Eilat	South	אילת	إيلات	47,400	84.789	Meir Yitzhak Halevi
El'ad	Center	אלעד	أيلعاد	36,300	2.756	Yitzhak Idan
Giv'atayim	Tel Aviv	גבעתיים	جفعاتايم	53,000	3.246	Ran Kunik
Giv'at Shmuel	Center	גבעת שמואל		21,800	2.579	Yossi Brodny
Hadera	Haifa	חדרה	الخضيرة	80,200	49.359	Haim Avitan
Haifa	Haifa	חיפה	حيفا	265,600	63.666	Yona Yahav
Herzliya	Tel Aviv	הרצליה	هرتسليا	87,000	21.585	Yehonatan Yassur
Hod HaSharon	Center	הוד השרון	هود هشارون	47,200	21.585	Hai Adiv
Holon	Tel Aviv	חולון	حولون	184,700	18.927	Moti Sasson
Jerusalem	Jerusalem	ירושלים	أورشليم, القدس	815,600	125.156	Nir Barkat
Karmiel	North	כרמיאל	كرميئيل	44,100	19.188	Adi Eldar
Kafr Qasim	Center	כפר קאסם	كفر قاسم	18,800	8.745	Sami Issa
Kfar Saba	Center	כפר סבא	كفار سابا	83,600	14.169	Yehuda Ben-Hemo
Kiryat Ata	Haifa	קריית אתא	كريات آتا	50,700	16.706	Ya'akov Peretz
Kiryat Bialik	Haifa	קריית ביאליק	كريات بياليك	37,300	8.178	Eli Dokursky
Kiryat Gat	South	קריית גת	كريات جات	47,400	16.302	Aviram Dahari
Kiryat Malakhi	South	קריית מלאכי	كريات ملاخي	20,600	4.632	Motti Malka
Kiryat Motzkin	Haifa	קריית מוצקין	كريات موتسكين	38,000	3.778	Haim Zuri
Kiryat Ono	Tel Aviv	קריית אונו	كريات أونو	31,000	4.112	Yossi Nishri
Kiryat Shmona	North	קריית שמונה	كريات شمونة	23,100	14.228	Nissim Malka
Kiryat Yam	Haifa	קריית ים	كريات يام	37,700	4.339	Shmuel Sisso
Lod	Center	לוד	اللد	69,800	12.226	Yair Revivo
Ma'ale Adumim	Judea & Samaria\n(West Bank)	מעלה אדומים	معلي أدوميم	34,300	49.177	Benny Kashriel
Ma'alot-Tarshiha	North	מעלות-תרשיחא	معالوت ترشيحا	20,600	6.832	Shlomo Bohbot
Migdal HaEmek	North	מגדל העמק	مجدال هعيمق	23,900	7.637	Eliyahu Barda
Modi'in Illit	Judea & Samaria\n(West Bank)	מודיעין עילית	موديعين عيليت	46,200	4.746	Ya'akov Gutterman
Modi'in-Maccabim-Re'ut	Center	מודיעין-מכבים-רעות	موديعين-مكابيم-ريعوت	72,700	50.176	Haim Beebas
Nahariya	North	נהריה	نهاريا	51,200	10.233	Jacky Sabag
Nazareth	North	נצרת	الناصرة	72,200	14.123	Ali Salam
Nazareth Illit	North	נצרת עילית	الناصرة العليا	40,800	32.521	Shimon Gapso
Nesher	Haifa	נשר	نيشر	23,600	12.790	David Amar
Ness Ziona	Center	נס ציונה	نيس تسيونا	38,100	15.579	Yossi Shvo
Netanya	Center	נתניה	نتانيا	183,200	28.954	Miriam Feirberg
Netivot	South	נתיבות	نتيفوت	26,700	5.626	Yehiel Zohar
Ofakim	South	אופקים	أوفاكيم	24,000	10.273	Zvika Greengold
Or Akiva	Haifa	אור עקיבא	أور عكيفا	16,100	3.539	Simha Yosipov
Or Yehuda	Tel Aviv	אור יהודה	أور يهودا	34,400	5.141	David Yosef
Petah Tikva	Center	פתח תקווה	بيتح تكفا	209,600	35.868	Itzik Braverman
Qalansawe	Center	קלנסווה	قلنسوة	18,700	8.417	
Ra'anana	Center	רעננה	رعنانا	68,300	14.878	Nahum Hofree
Rahat	South	רהט	رهط	51,700	19.586	Talal al-Krenawi
Ramat Gan	Tel Aviv	רמת גן	رمات غان	145,000	13.229	Yisrael Zinger
Ramat HaSharon	Tel Aviv	רמת השרון	رمات هشارون	40,600	16.792	Yitzhak Rochberger
Ramla	Center	רמלה	الرملة	65,800	11.854	Yoel Lavi
Rehovot	Center	רחובות	رحوفوت	112,700	23.041	Rahamim Malul
Rishon LeZion	Center	ראשון לציון	ريشون لتسيون	228,200	58.704	Dov Tzur
Rosh HaAyin	Center	ראש העין	رأس العين	38,500	24.390	Moshe Sinai
Safed	North	צפת	صفد	29,500	29.248	Ilan Shohat
Sakhnin	North	סח'נין	سخنين	25,700	9.816	Mazen Ghnaim
Sderot	South	שדרות	سديروت	23,700	4.472	David Buskila
Shefa-'Amr (Shfar'am)	North	שפרעם	شفا عمرو	36,200	19.766	Nahed Khazem
Tamra	North	טמרה	طمرة	28,700	29.259	Abu el-Hija Adel
Tayibe	Center	טייבה	الطيبة	36,500	18.662	Hemi Doron
Tel Aviv	Tel Aviv	תל אביב	تل أبيب يافا	403,700	51.788	Ron Huldai
Tiberias	North	טבריה	طبريا	41,300	10.872	Zohar Oved
Tira	Center	טירה	الطيرة	22,600	11.894	Mamoun Abd al-Hay
Tirat Carmel	Haifa	טירת כרמל	طيرة الكرمل	18,600	5.601	Aryeh Tal
Umm al-Fahm	Haifa	אום אל-פחם	أم الفحم	46,100	22.253	Khaled Aghbariyya
Yavne	Center	יבנה	يبنة	33,000	10.700	Zvi Gov-Ari
Yehud-Monosson	Center	יהוד-מונוסון	يهود مونوسون	26,500	5.014	Yossi Ben-David
Yokneam	North	יקנעם	يوقنعم	19,100	7.390	Simon Alfasi
