"Chart Year","Artist","Album","Song","Billboard Hot 100","Billboard Hot R&B/Hip Hop",""
"2014","Puff Daddy","Fothcoming Album","Big Homie","New Single","",""
"2014","Rick Ross f/Jay Z","Fothcoming Album","Devil Is A Lie","New Single","",""
"2014","Rick Ross f/Jay Z","Mastermind","War Ready","New Single","",""
"2014","Yo Gotti","I Am","I Know f Rich Homie Quan","New Single","",""
"2014","Marsha Ambrosius","FVCK&LOVE","Stronger Than Pride","New Single","",""
"2014","Marsha Ambrosius","FVCK&LOVE","Friends & Lovers","New Single","",""
"2014","Juicy J","Fothcoming Album","Blow Out","New Single","",""
"2014","Chris Brown","X","Loyal","New Single","",""
"2014","IAMSU!","Forthcoming Album","Only that Real f 2 Chains","New Single","",""
"2014","Omarion","Fothcoming Album","I Like It","New Single","",""
"2014","J-Lo/Ricky Martin","World Cup","Adrenalina f/J-Lo/Ricky Martin","New Single","",""
"2014","Jennifer Lopez","Fothcoming Album","Girls Just Wanna","New Single","",""
"2014","Jennifer Lopez","Fothcoming Album","Same Girl","New Single","",""
"2014","Jennifer Lopez","Fothcoming Album","Papi","New Single","",""
"2014","Jhene Aiko","Sail Out","The Worst","New Single","",""
"2014","Sevyn Streeter","Forthcoming Album","Next","New Single","",""
"2014","Tinashe","Forthcoming Album","2 On f/ Schoolboy Q","New Single","",""
"2014","Future","Honest","Covered In Money","New Single","",""
"2014","Future","Honest","Move That Dope","New Single","",""
"2014","Trey Songz","Forthcoming Album","NANA","New Single","",""
"2014","Kid Ink","My Own Lane","Main Chick","New Single","",""
"2014","Kid Ink","My Own Lane","Show Me","New Single","",""
"2014","August Alsina","Forthcoming Album","Benidiction f/ Rick Ross","New Single","",""
"2014","August Alsina","Forthcoming Album","Numb","New Single","",""
"2014","August Alsina","Forthcoming Album","Make It Home","New Single","","2013"
"2013","Yo Gotti","I Am","Don't Come Around","New Single","",""
"2013","Marsha Ambrosious","Fothcoming Album","Without You f/ Neyo","New Single","",""
"2013","Justin Bieber","Journals","Various Music Monday Singles","New Single","",""
"2013","R. Kelly","Forthcoming Album","Cookie","New Single","",""
"2013","R. Kelly","Forthcoming Album","Sex Genius","New Single","",""
"2013","Trevor Jackson","Forthcoming Album","Drop It","New Single","",""
"2013","Aloe Blacc","Wake Me Up","Wake Me Up","New Single","",""
"2013","Jhene Aiko","Sail Out","Bed Peace f/Childish Gambino","New Single","",""
"2013","Jay-Z","Magna Carta... Holy Grail","F*uckwithmeyouknowigotit","New Single","",""
"2013","Yo Gotti","I Am","King Shit f/TI","New Single","",""
"2013","Cali Y El Dandee","3 A.M","No Digas Nada (Déjà vu)","New Single","",""
"2013","Ciara","Ciara","Overdose","New Single","",""
"2013","Mario","Forthcoming Album","Fatal Distraction","New Single","",""
"2013","Miley Cyrus","Bangerz","\"We Can't Stop\"","2","",""
"2013","Mike Will Made It","Forthcoming Album","23","New Single","",""
"2013","Jhene Aiko","Sail Out","Bed Piece","New Single","",""
"2013","Omarion","Self Made 3","Know You Better f/ Fab","New Single","",""
"2013","Marsha Ambrosius","Forthcoming Album","Without You f/Neyo","New Single","",""
"2013","Sevyn Streeter","Forthcoming Album","It Wont Stop","New Single","",""
"2013","Mario","Forthcoming Album","Somebody Else f/ Nikki Minaj","New Single","",""
"2013","Future","Forthcoming Album","Shit","New Single","",""
"2013","Future","Forthcoming Album","Honest","New Single","",""
"2013","Ariana Grande","Forthcoming Album","Right There f/ Big Sean","9","",""
"2013","R. Kelly","Forthcoming Album","My Story f/ 2 Chains","New Single","",""
"2013","SABI","Forthcoming Album","Cali Love f/ TYGA","New Single","",""
"2013","Iggy Azelea","Forthcoming Album","Change your Life f/ TI","New Single","",""
"2012","Ludacris","Ludaversal","Helluva Night","New Single","",""
"2013","Momo Wu","Forthcoming Album","Live for Now","New Single","",""
"2013","Yo Gotti","Forthcoming Album","Act Right","New Single","",""
"2013","Chris Brown","X","Love More f/Nikki Minaj","31","",""
"2013","Kaptn","Forthcoming Album","Ricky Ricardo","New Single","",""
"2013","Jay Sean","Forthcoming Album","Mars f/ Rick Ross","New Single","",""
"2013","Earl Sweatshirt","Forthcoming Album","Hive","New Single","",""
"2013","Kelly Rowland","Talk A Good Game","Dirty Laundry","New Single","",""
"2013","Tyler The Creator","Wolf","Domo 23 & Rusty","New Single","",""
"2013","Fantasia","Side Effects of You","Without Me f/ Kelly Rolland & Miss Elliot","New Single","",""
"2013","August Alsina","Forthcoming Album","I Love This Sh*t","New Single","",""
"2013","Chris Brown","X","Fine China","31","",""
"2013","Ludacris","Forthcoming Album","Raised in the South","New Single","",""
"2013","Ariana Grande","Forthcoming Album","The Way f/ Mac Miller","9","",""
"2013","Sean Kingston","Forthcoming Album","Beat It f/ Chris Brown & Wiz Khalifa","55","",""
"2013","Ciara","One Woman Army","Body Party","34","",""
"2013","Bryan J","Forthcoming Album","Caught Up","New Single","",""
"2013","Justin Bieber","Forthcoming Album","Right Here f/ Drake","New Single","",""
"2013","Adrian Marcel","Forthcoming Album","Waiting","New Single","",""
"2013","Chrisette Michele","Forthcoming Album","A Couple of Forevers","New Single","",""
"2013","Juicy J","Forthcoming Album","Show Out f/Young Jeezy and Big Sean","New Single","",""
"2013","The-Dream","IV Play","IV Play","New Single","",""
"2013","Rick Ross","Django Soundtrack","100 Black Coffins","New Single","",""
"2013","B Smyth","Forthcoming Album","Leggo","New Single","",""
"2013","French Montana","Forthcoming Album","Marble Floors f Rick Ross, Lil Wayne, 2 Chainz","New Single","",""
