"Year","Team","Games","Attempts","Yards","YPC","Long","TDs"
"1983","Los Angeles Rams","16","390","1,808","4.6","85","18"
"1984","Los Angeles Rams","16","379","2,105","5.6","66","14"
"1985","Los Angeles Rams","14","292","1,234","4.2","43","12"
"1986","Los Angeles Rams","16","404","1,821","4.5","42","11"
"1987","Los Angeles Rams","3","60","277","4.6","57","1"
"1987","Indianapolis Colts","9","223","1,011","4.5","53","5"
"1988","Indianapolis Colts","16","388","1,659","4.3","41","14"
"1989","Indianapolis Colts","15","314","1,311","4.2","21","7"
"1990","Indianapolis Colts","11","166","677","4.1","43","4"
"1991","Indianapolis Colts","10","167","536","3.2","28","2"
"1992","Los Angeles Raiders","16","187","729","3.9","40","2"
"1993","Atlanta Falcons","4","26","91","3.5","10","0"
"Career","","146","2,996","13,259","4.4","85","90"
