Episode	Show #	Iron Chef	Challenger	Challenger specialty	Secret ingredient(s) or theme	Winner	Final score
1	IA0502	Bobby Flay	Ben Ford	Regional American	Blue foot chicken	Bobby Flay	44-35
2	IA0508	Mario Batali	Tony Liu	Pan-European	Opah	Mario Batali	55-47
3	IA0509	Cat Cora	Alexandra Guarnaschelli	French-American	Farmers' Market	Cat Cora	45-41
4	IA0501	Mario Batali	Andrew Carmellini	Urban Italian	Parmigiano-Reggiano	Mario Batali	56-55
5	IA0504	Cat Cora	Mark Tarbell	Seasonal Organic	Apples	Mark Tarbell	50-44
6	IA0506	Bobby Flay	Kurt Boucher	French-American	Arctic char	Bobby Flay	46-39
7	IA0510	Mario Batali	Charles Clark	New American	Halibut	Mario Batali	51-50
8	IA0507	Cat Cora	Mary Dumont	French-American	Milk and cream	Cat Cora	51-46
9	IASP07	Michael Symon	Ricky Moore	Contemporary American	Traditional Thanksgiving	Michael Symon	51-43
10	IASP08	Cat Cora & Paula Deen	Tyler Florence & Robert Irvine	Southern (Deen), Contemporary American (Florence), International (Irvine)	Sugar	Cat Cora & Paula Deen	49-47
11	IA0503	Cat Cora	Todd Richards	Modern Southern	Carrots	Cat Cora	48-46
12	IA0505	Masaharu Morimoto	Fortunato Nicotra	Seasonal Italian	Kampachi	Masaharu Morimoto	59-50
