"District","Representative","Party","Residence","Counties Represented"
"1","Ogden Driskill","Republican","Devils Tower","Converse, Crook, Goshen, Niobrara, Weston"
"2","Jim Anderson","Republican","Glenrock","Converse, Platte"
"3","Curt Meier","Republican","LaGrange","Goshen, Platte"
"4","Tony Ross","Republican","Cheyenne","Laramie"
"5","Fred Emerich","Republican","Cheyenne","Laramie"
"6","Wayne Johnson","Republican","Cheyenne","Laramie"
"7","Leslie Nutting","Republican","Cheyenne","Laramie"
"8","Floyd Esquibel","Democratic","Cheyenne","Laramie"
"9","Chris Rothfuss","Democratic","Laramie","Albany"
"10","Phil Nicholas","Republican","Laramie","Albany"
"11","Larry S. Hicks","Republican","Baggs","Albany, Carbon"
"12","Bernadine Craft","Democratic","Rock Springs","Fremont, Sweetwater"
"13","John Hastert","Democratic","Green River","Sweetwater"
"14","Stan Cooper","Republican","Kemmerer","Lincoln, Sublette, Sweetwater, Uinta"
"15","Paul Barnard","Republican","Evanston","Uinta"
"16","Dan Dockstader","Republican","Afton","Lincoln, Sublette, Teton"
"17","Leland Christensen","Republican","Alta","Fremont, Teton"
"18","Hank Coe","Republican","Cody","Park"
"19","R. Ray Peterson","Republican","Cowley","Big Horn, Park"
"20","Gerald Geis","Republican","Worland","Big Horn, Hot Springs, Park, Washakie"
"21","Bruce Burns","Republican","Sheridan","Sheridan"
"22","John Schiffer","Republican","Kaycee","Sheridan, Johnson"
"23","John Hines","Republican","Gillette","Campbell"
"24","Michael Von Flatern","Republican","Gillette","Campbell"
"25","Cale Case","Republican","Lander","Fremont"
"26","Eli Bebout","Republican","Riverton","Fremont"
"27","Bill Landen","Republican","Casper","Natrona"
"28","James Lee Anderson","Republican","Casper","Natrona"
"29","Drew Perkins","Republican","Casper","Natrona"
"30","Charles Scott","Republican","Casper","Natrona"
