Rank	Player	County	Tally	Total	Opposition
1	Francis Forde	Galway	2–8	14	Roscommon
2	Niall English	Carlow	1–9	12	Westmeath
3	Kevin Broderick	Galway	3–1	10	New York
3	Gary Kirby	Limerick	1–7	10	Tipperary
3	Gary Kirby	Limerick	0–10	10	Tipperary
6	Seán McLoughlin	Westmeath	1–6	9	Carlow
6	David Martin	Meath	1–6	9	Offaly
6	Gary Kirby	Limerick	0–9	9	Antrim
9	John Byrne	Carlow	2–2	8	Westmeath
9	John Troy	Offaly	2–2	8	Laois
9	John Leahy	Tipperary	2–2	8	Kerry
9	Tom Dempsey	Wexford	1–5	8	Offaly
9	Paul Flynn	Waterford	1–5	8	Tipperary
9	Francis Forde	Galway	1–5	8	New York
