"Date","Time","Opponent#","Rank#","Site","TV","Result","Attendance"
"August 30","8:00 PM","vs. Alabama*","#9","Georgia Dome • Atlanta, GA (Chick-fil-A College Kickoff)","ABC","L 10–34","70,097"
"September 6","3:30 PM","The Citadel*","#22","Memorial Stadium • Clemson, SC (Military Appreciation Day)","","W 45–17","76,794"
"September 13","12:00 PM","NC State","#23","Memorial Stadium • Clemson, SC (Textile Bowl/Hall of Fame Day)","Raycom","W 27–9","77,071"
"September 20","1:00 PM","SC State*","#21","Memorial Stadium • Clemson, SC (Youth Day)","","W 54–0","78,607"
"September 27","12:00 PM","Maryland","#19","Memorial Stadium • Clemson, SC (Family Weekend)","Raycom","L 17–20","81,500"
"October 9","7:45 PM","at Wake Forest","","BB&T Field • Winston-Salem, NC","ESPN","L 7–12","33,988"
"October 18","12:00 PM","Georgia Tech","","Memorial Stadium • Clemson, SC (IPTAY Day)","ESPN","L 17–21","81,500"
"November 1","3:30 PM","at Boston College","","Alumni Stadium • Chestnut Hill, MA (O'Rourke-McFadden trophy)","ESPNU","W 27–21","41,863"
"November 8","3:30 PM","at #24 Florida State","","Doak Campbell Stadium • Tallahassee, FL","ABC","L 27–41","77,013"
"November 15","12:00 PM","Duke","","Memorial Stadium • Clemson, SC (Homecoming)","Raycom","W 31–7","76,217"
"November 22","12:00 PM","at Virginia","","Scott Stadium • Charlottesville, VA","Raycom","W 13–3","51,979"
"November 29","12:00 PM","South Carolina*","","Memorial Stadium • Clemson, SC (Battle for the Palmetto State/Solid Orange Game)","ESPN2","W 31–14","82,456"
"January 1, 2009","1:00 PM","vs. Nebraska*","","Jacksonville Municipal Stadium • Jacksonville, FL (Gator Bowl)","CBS","L 21–26","67,282"
