"","Name","Nation","Points","Games","Pts/game"
"1","Karen Andrew","England","44","5","8.8"
"2","Daniella Waterman","England","40","5","8"
"3","Christelle Le Duff","France","33","5","6.6"
"4","Charlotte Barras","England","30","5","6"
"5","Naomi Thomas","Wales","25","5","5"
"6","Susan Day","England","20","5","4"
"7","Lucy Millard","Scotland","20","5","4"
"8","Veronica Schiavon","Italy","19","4","4.75"
"9","Estelle Sartini","France","17","5","3.4"
"10","Margaret Alphonsie","England","15","5","3"
"11","Fanny Horta","France","15","5","3"
"12","Jeannette Feighery","Ireland","15","5","3"
"13","Non Evans","Wales","14","3","4.67"
"14","Lynsey Harley","Scotland","12","2","6"
"15","Delphine Plantet","France","10","5","2"
"16","Joanne O'Sullivan","Ireland","10","5","2"
"17","Katy McLean","England","9","3","3"
"18","Michela Tondinelli","Italy","6","5","1.2"
"19","Georgia Stevens","England","5","5","1"
"20","Mel Berry","Wales","5","5","1"
