"Season","Level","Division","Section","Position","Movements"
"1999","Tier 5","Division 4","Gotland","6th","Vårserier (Spring Series)"
"","Tier 5","Division 4","Gotland","5th","Höstserier (Autumn Series)"
"2000","Tier 5","Division 4","Gotland","2nd","Vårserier (Spring Series)"
"","Tier 5","Division 4","Uppland/Gotland Höst","10th","Höstserier (Autumn Series)"
"2001","Tier 5","Division 4","Gotland","4th","Vårserier (Spring Series)"
"","Tier 5","Division 4","Gotland","4th","Slutspel A (Playoff A)"
"2002","Tier 5","Division 4","Gotland","3rd","Promotion Playoffs"
"2003","Tier 5","Division 4","Gotland","6th",""
"2004","Tier 5","Division 4","Gotland","4th",""
"2005","Tier 5","Division 4","Gotland","1st",""
"2006*","Tier 5","Division 3","Östra Svealand","12th","Relegated"
"2007","Tier 6","Division 4","Gotland","2nd",""
"2008","Tier 6","Division 4","Gotland","3rd",""
"2009","Tier 6","Division 4","Gotland","7th",""
"2010","Tier 6","Division 4","Gotland","2nd",""
"2011","Tier 6","Division 4","Gotland","4th",""
