"Title","Year","Publisher","Developer","Platforms"
"The Hobbit","1982","Melbourne House","Beam Software","Amstrad CPC, ZX Spectrum, Commodore 64, BBC (no graphics), Dragon 32, Oric Atmos, MSX, Apple II, IBM PC"
"Lord of the Rings: Game One (AKA: The Fellowship of The Ring)","1985","Melbourne House","Beam Software","ZX Spectrum, Commodore 64, BBC, Dragon 32, Apple Macintosh, Apple II, IBM PC"
"The Shadows of Mordor","1987","Melbourne House","Beam Software","Amstrad CPC, Commodore 64, ZX Spectrum, Apple II, IBM PC"
"War in Middle-earth","1988","Melbourne House","Melbourne House","C64, Spectrum, Amstrad CPC, Amiga, Atari ST, IBM PC"
"The Crack of Doom","1989","Melbourne House","Beam Software","Commodore 64, IBM PC"
"The Lord of the Rings Volume 1","1990","Interplay,
Electronic Arts","Interplay, Chaos Studios (Amiga)","Amiga, IBM PC"
"The Lord of the Rings Volume 2","1992","Interplay","Interplay","IBM PC"
"Riders of Rohan","1991","Konami, Mirrorsoft","Beam Software, Papyrus","IBM PC"
"The Lord of the Rings Volume 1","1994","Interplay","Interplay","Super NES"
"The Lord of the Rings: The Fellowship of the Ring","2002","Vivendi Universal Games","Surreal Software","MS Windows, PlayStation 2"
"The Lord of the Rings: The Fellowship of the Ring","2002","Vivendi Universal Games","The Whole Experience","Xbox"
"The Lord of the Rings: The Fellowship of the Ring","2002","Vivendi Universal Games","Pocket Studios","Game Boy Advance"
"The Lord of the Rings: The Two Towers","2002","Electronic Arts","Stormfront Studios
Hypnos Entertainment (GCN)","PlayStation 2, Xbox, Nintendo GameCube"
"The Lord of the Rings: The Two Towers","2002","Electronic Arts","Griptonite Games","Game Boy Advance"
"The Lord of the Rings: The Return of the King","2003","Electronic Arts
Aspyr (Mac OS X)","Electronic Arts,Hypnos Entertainment (GCN & Xbox)
Beenox (Mac OS X)","MS Windows, PlayStation 2, Xbox, Nintendo GameCube, Mac OS X"
"The Lord of the Rings: The Return of the King","2003","Electronic Arts","Griptonite Games","Game Boy Advance"
"The Lord of the Rings: War of the Ring","2003","Sierra","Liquid Entertainment","MS Windows"
"The Hobbit","2003","Sierra","Midway Austin","MS Windows, PlayStation 2, Xbox, Nintendo GameCube"
"The Hobbit","2003","Sierra","Saffire","Game Boy Advance"
"The Lord of the Rings: The Third Age","2004","Electronic Arts","Electronic Arts","PlayStation 2, Xbox, Nintendo GameCube"
"The Lord of the Rings: The Third Age (GBA)","2004","Electronic Arts","Griptonite Games","Game Boy Advance"
"The Lord of the Rings: The Battle for Middle-earth","2004","Electronic Arts","EA Los Angeles","MS Windows"
"The Lord of the Rings: Tactics","2005","Electronic Arts","Amaze","PlayStation Portable"
"The Lord of the Rings: The Battle for Middle-earth II","2006","Electronic Arts","EA Los Angeles","MS Windows, Xbox 360"
"The Lord of the Rings: The Battle for Middle-earth II: The Rise of the Witch-king","2006","Electronic Arts","EA Los Angeles","MS Windows"
"The Lord of the Rings Online: Shadows of Angmar","2007","Turbine, Inc., Midway","Turbine, Inc.","MS Windows"
"The Lord of the Rings Online: Mines of Moria","2008","Turbine, Inc., Midway","Turbine, Inc.","MS Windows"
"The Lord of the Rings: Conquest","2009","Electronic Arts","Pandemic Studios","Xbox 360, PlayStation 3, MS Windows, Nintendo DS"
"The Lord of the Rings Online: Siege of Mirkwood","2009","Turbine, Inc.","Turbine, Inc.","MS Windows"
"The Lord of the Rings: Aragorn's Quest","2010","Warner Bros. Interactive Entertainment","Headstrong Games
TT Fusion","Wii, Nintendo DS, PlayStation 2, PlayStation Portable, PlayStation 3"
"The Lord of the Rings: War in the North","2011","Warner Bros. Interactive Entertainment","Snowblind Studios","PlayStation 3, MS Windows, Xbox 360"
"The Lord of the Rings Online: Rise of Isengard","2011","Warner Bros. Interactive Entertainment","Turbine, Inc.","MS Windows"
"The Lord of the Rings Online: Riders of Rohan","2012","Warner Bros. Interactive Entertainment","Turbine, Inc.","MS Windows"
"Guardians of Middle-earth","2012","Warner Bros. Interactive Entertainment","Monolith Productions","Xbox 360, PlayStation 3, MS Windows"
"Lego The Lord of the Rings","2012","Warner Bros. Interactive Entertainment","Traveler's Tales","MS Windows, Wii, Nintendo 3DS, PlayStation Vita, PlayStation 3, Nintendo DS, Xbox 360"
"The Hobbit: Kingdoms of Middle-earth","2012","","Kabam","Android, Apple iOS"
"The Hobbit: Armies of the Third Age","2013","","Kabam","Browser game"
"The Lord of the Rings Online: Helm's Deep","2013","Warner Bros. Interactive Entertainment","Turbine, Inc.","Mac OS X, MS Windows"
"Middle-earth: Shadow of Mordor","2014","Warner Bros. Interactive Entertainment","Monolith Productions","Xbox 360, Xbox One, PlayStation 3, PlayStation 4, MS Windows"
