Outcome	No.	Date	Championship	Surface	Opponent in the final	Score in the final
Runner-up	1.	February 15, 1993	Memphis, Tennessee, USA	Hard (i)	Jim Courier	7–5, 6–7(4–7), 6–7(4–7)
Winner	1.	May 17, 1993	Coral Springs, Florida, USA	Clay	David Wheaton	6–3, 6–4
Runner-up	2.	July 26, 1993	Washington D.C., USA	Hard	Amos Mansdorf	6–7(3–7), 5–7
Runner-up	3.	August 2, 1993	Montreal, Canada	Hard	Mikael Pernfors	6–2, 2–6, 5–7
Runner-up	4.	October 18, 1993	Tokyo, Japan	Carpet	Ivan Lendl	4–6, 4–6
Runner-up	5.	January 31, 1994	Australian Open, Melbourne, Australia	Hard	Pete Sampras	6–7(4–7), 4–6, 4–6
Winner	2.	February 14, 1994	Memphis, Tennessee, USA	Hard	Brad Gilbert	6–4, 7–5
Runner-up	6.	May 2, 1994	Atlanta, Georgia, USA	Clay	Michael Chang	7–6(7–4), 6–7(4–7), 0–6
Runner-up	7.	May 9, 1994	Pinehurst, USA	Clay	Jared Palmer	4–6, 6–7(5–7)
Winner	3.	June 13, 1994	London (Queen's Club), UK	Grass	Pete Sampras	7–6(7–4), 7–6(7–4)
Winner	4.	February 20, 1995	Memphis, Tennessee, USA	Hard	Paul Haarhuis	7–6(7–2), 6–4
Runner-up	8.	December 18, 1995	Grand Slam Cup, Munich, Germany	Carpet	Goran Ivanišević	6–7(4–7), 3–6, 4–6
Winner	5.	January 15, 1996	Sydney, Australia	Hard	Goran Ivanišević	5–7, 6–3, 6–4
Runner-up	9.	February 26, 1996	Memphis, Tennessee, USA	Hard (i)	Pete Sampras	4–6, 6–7(2–7)
Runner-up	10.	August 22, 1996	Stockholm, Sweden	Hard (i)	Thomas Enqvist	5–7, 4–6, 6–7(0–7)
Winner	6.	April 20, 1998	Barcelona, Spain	Clay	Alberto Berasategui	6–2, 1–6, 6–3, 6–2
Winner	7.	November 16, 1998	Stockholm, Sweden	Hard	Thomas Johansson	6–3, 6–4, 6–4
Winner	8.	January 18, 1999	Sydney, Australia	Hard	Àlex Corretja	6–3, 7–6(7–5)
Runner-up	11.	April 12, 1999	Estoril, Portugal	Clay	Albert Costa	6–7(4–7), 6–2, 3–6
Runner-up	12.	September 12, 1999	US Open, New York City, USA	Hard	Andre Agassi	4–6, 7–6(7–5), 7–6(7–2), 3–6, 2–6
