Model	Origin	Type	Versions	In Service	Notes
Vought F-8 Crusader	United States	Air superiority fighter/Interceptor aircraft	F-8P	35	Placed in open storage 1988-01-23 at Basa Air Base. They suffered irreparable damage from Mt. Pinatubo's eruption on 1991-06-15.
Northrop F-5 Freedom Fighter	United States	Fighter/Bomber	F-5A\nF-5B	37	Retired. The 10 remaining F-5s, out of a total of 37 acquired by the Philippine government from 1967 to 1998, were decommissioned in a ceremony in September 2005
North American F-86 Sabre	United States	Fighter/Bomber	F-86F\nF-86D	50\n20	Replaced by the Northrop F-5A
North American P-51 Mustang	United States	Fighter	P-51D	103	PAF's 1950s Fighter, replaced by F-86 Sabre
North American T-28 Trojan	United States	Trainer/Light strike aircraft	T-28A\nT-28D	20\n24	Replaced by OV-10 Bronco
North American T-6 Texan	United States	Trainer aircraft		38	
Beechcraft T-34 Mentor	United States	Trainer aircraft		36	Replaced by the SF-260
Lockheed T-33 Shooting Star	United States	Trainer aircraft	T-33A\nRT-33A	25\n2	Replaced by the S-211
Douglas AC-47 Spooky	United States	Close air support aircraft		11	
Douglas C-47 Skytrain	United States	Military transport aircraft		?	Replaced by the C-130
de Havilland Canada DHC-2 Beaver	Canada	Military transport aircraft		?	Replaced by the C-130
Grumman HU-16 Albatross	United States	Military transport aircraft	HU-16B	6	
NAMC YS-11	Japan	VIP transport		?	
Stinson L-5 Sentinel	United States	Liaison aircraft		?	
Sikorsky S-62	United States\n\n Japan	Multipurpose utility helicopter\n\nMultipurpose utility helicopter\n\nVIP transport	S-62A\n\nS-62J	1\n\n2	
Sikorsky H-34	United States	SAR Helicopter		?	
Sikorsky H-19	United States			?	
Bell 212	United States	Utility helicopter		1	A presidential aircraft that crashed in Benguet Province.
Aérospatiale SA 330 Puma	France	Presidential helicopter	SA 330L	2	
