"Year","Title","Album","US R&B","US Pop","US Dance"
"1989","\"Talk To Myself\"/Sweet Memories","Adventures in Paradise A","4","49","18"
"1989","\"Promises, Promises\"/Lover Come Back","Adventures in Paradise A","7","-","-"
"1990","\"One Girl\"/Lover Come Back","Adventures in Paradise A","31","-","-"
"1991","\"I'm Dreamin'\"","New Jack City soundtrack","1","89","16"
"1991","\"I Wanna B Ure Lover\"","F.S. Effect featuring Christopher Williams","52","-","-"
"1992","\"All I See\"","Changes","19","-","46"
"1993","\"Every Little Thing U Do\"","Changes","7","75","-"
"1993","\"Come Go with Me\"","Changes","74","-","-"
"1995","\"Dance 4 Me\"","Not a Perfect Man","25","-","-"
"1995","\"If You Say\"","Not a Perfect Man","91","-","-"
