"Date","Time","Opponent#","Rank#","Site","TV","Result","Attendance"
"September 3","6:00 PM","Missouri State*","#15","Donald W. Reynolds Razorback Stadium • Fayetteville, AR","PPV","W 51–7","70,607"
"September 10","6:00 PM","New Mexico*","#14","War Memorial Stadium • Little Rock, AR","ESPNU","W 52–3","52,606"
"September 17","6:30 PM","Troy*","#14","Donald W. Reynolds Razorback Stadium • Fayetteville, AR","CSS","W 38–28","69,861"
"September 24","2:30 PM","at #3 Alabama","#14","Bryant–Denny Stadium • Tuscaloosa, AL","CBS","L 14–38","101,821"
"October 1","11:00 AM","vs. #14 Texas A&M*","#18","Cowboys Stadium • Arlington, TX (Southwest Classic)","ESPN","W 42–38","69,838"
"October 8","6:00 PM","#15 Auburn","#10","Donald W. Reynolds Razorback Stadium • Fayetteville, AR","ESPN","W 38–14","74,191"
"October 22","11:21 AM","at Ole Miss","#10","Vaught–Hemingway Stadium • Oxford, MS (Rivalry)","SECN","W 29–24","57,951"
"October 29","11:21 AM","at Vanderbilt","#8","Vanderbilt Stadium • Nashville, TN","SECN","W 31–28","33,247"
"November 5","6:15 PM","#10 South Carolina","#8","Donald W. Reynolds Razorback Stadium • Fayetteville, AR","ESPN","W 44–28","73,804"
"November 12","5:00 PM","Tennessee","#8","Donald W. Reynolds Razorback Stadium • Fayetteville, AR","ESPN2","W 49–7","72,103"
"November 19","2:30 PM","Mississippi State","#6","War Memorial Stadium • Little Rock, AR","CBS","W 44–17","55,761"
"November 25","1:30 PM","at #1 LSU","#3","Tiger Stadium • Baton Rouge, LA (Battle for the Golden Boot)","CBS","L 17–41","93,108"
"January 6","7:00 PM","vs. #11 Kansas State*","#7","Cowboys Stadium • Arlington, TX (Cotton Bowl Classic)","FOX","W 29–16","80,956"
