Rank	Group	Name	Nationality	2.05	2.15	2.19	2.23	2.26	Result	Notes
1	A	Nicola Ciotti	Italy	-	o	o	o	o	2.26	q
1	A	Linus Thörnblad	Sweden	-	o	o	o	o	2.26	q
1	A	Tomáš Janků	Czech Republic	-	o	o	o	o	2.26	q
1	B	Oskari Frösén	Finland	-	o	o	o	o	2.26	q
1	B	Stefan Holm	Sweden	-	o	o	o	o	2.26	q
1	B	Svatoslav Ton	Czech Republic	-	o	o	o	o	2.26	q
7	A	Niki Palli	Israel	o	o	o	o	xo	2.26	q
7	B	Yaroslav Rybakov	Russia	-	o	o	o	xo	2.26	q
9	B	Giulio Ciotti	Italy	-	o	xo	o	xo	2.26	q
10	A	Andrey Silnov	Russia	-	o	o	o	xxo	2.26	q
11	A	Ivan Ukhov	Russia	-	-	-	o	-	2.23	q
11	A	Andrea Bettinelli	Italy	-	o	o	o	xxx	2.23	q
11	B	Wilbert Pennings	Netherlands	-	o	o	o	xxx	2.23	q
14	A	Martyn Bernard	United Kingdom	-	o	xxo	xo	xxx	2.23	
15	B	Peter Horák	Slovakia	-	o	o	xxo	xxx	2.23	
15	B	Normunds Pūpols	Latvia	-	o	o	xxo	xxx	2.23	
17	A	Germaine Mason	United Kingdom	-	o	o	xxx		2.19	
17	B	Rožle Prezelj	Slovenia	o	o	o	xxx		2.19	
19	A	Heikki Taneli	Finland	-	xo	o	xxx		2.19	
19	B	Andriy Sokolovskyy	Ukraine	-	xo	o	xxx		2.19	
21	B	Mickaël Hanany	France	-	xo	xo	xxx		2.19	
22	B	Javier Bermejo	Spain	o	o	xxx			2.15	
23	A	Osku Torro	Finland	-	xo	x-	x		2.15	
24	A	Jan-Peter Larsen	Netherlands	o	xxx				2.05	
	B	Adam Scarr	United Kingdom	-	xxx				NM	
